ASV_ID	NTC	PAC	Site1_1	Site1_2	Site1_3	Site2_1	Site2_2	Site2_3	Site3_1	Site3_2	Site3_3	Site4_1	Site4_2	Site4_3	XB
0c2c5048e400cb1ecf41ccaf72be26a8	0	0	38794	160174	108297	59001	49471	104783	0	102969	50354	11961	1308	64667	0
c7f3b34b86ea5513042a3d5b81c39fb4	0	203691	0	0	0	0	0	0	0	0	0	0	0	0	0
e7bc1215ccfa49c6b53da757a628bf37	0	0	2346	12504	9344	5982	2082	14534	0	16893	3065	14632	1459	22257	0
beb1e31d230627d1b0ab91e0a743cb0b	0	0	3540	2801	1317	2964	1737	7682	0	0	3280	10162	2258	15443	0
8945251b39a8d9a0a9c3c8bf514167ac	0	0	0	18481	9326	0	0	15258	0	0	0	7872	0	0	0
fe75f25b145817c7acdf34d93e37e722	0	0	0	5	2	0	1	2	0	61	0	6894	1104	32233	0
4ebe86ba68261fee2ab01cb5c649e89a	0	0	1786	5706	2314	1890	0	3290	0	2565	315	2432	662	5384	0
1cdf49a203be3e811b78a6f116a0e913	0	0	0	1541	1238	434	730	1710	0	0	274	6955	1675	11036	0
fe1bfdbee8d49d5be7f63beab225d202	0	0	2489	5109	3407	1811	822	3534	0	2769	1206	615	38	1463	0
1e0d5a9bb1ac05c49a9959fb0a532b4d	0	0	6532	0	0	4529	0	0	0	0	9991	0	0	0	0
cc067755400a4a5071d95d93f4e84478	0	0	547	2284	1338	1198	1207	2481	0	1246	877	1184	63	2034	0
d19202b779003606c27a803de54ba8ce	0	0	565	2386	1257	834	691	1698	0	1485	792	274	32	1523	0
357181fed057521725db02939adabfb7	0	0	652	5368	712	0	358	524	0	0	0	2099	0	745	0
3cab1a0fd7d70879daac5e7087105615	0	0	606	0	0	0	303	0	0	0	537	0	0	7140	0
fafa0e3a493f695c59800ca66ee0cb5e	0	0	0	4048	0	0	0	2404	0	0	0	1845	0	0	0
ef5ff1e6695668bdbda4e16b2df75918	0	0	0	8213	0	0	0	0	0	0	0	0	0	0	0
8dd2252758296357936958fe5bd77261	0	0	1018	1418	1019	784	352	803	0	842	347	272	8	998	0
b7c245c9a87ed0cbc618cad4309dcde4	0	0	0	1979	3326	0	0	2128	0	0	0	0	0	0	0
b351faa542d3100bb7f0f50f5a28c16b	0	0	0	0	1412	0	0	0	0	1533	333	0	216	3679	0
ebe82cf60805f2cb289d8fbd5a8f95b3	0	0	490	0	1741	0	0	3579	0	31	770	0	358	0	0
15b8824d835931f77cad5c42da8ccd11	0	0	763	0	0	599	0	0	0	0	0	0	192	5280	0
4edafc30e2bf78ea629991d4c174dcd2	0	0	0	0	0	0	6228	0	0	0	0	0	0	0	0
5be4e7dffa281b536e5647bbad089bda	0	0	448	1399	1041	276	341	1011	0	617	382	228	19	405	0
