sampleID,forwardReads,reverseReads
NTC,/work/gmgi/Fisheries/eDNA/NY/raw_data/NTC_S551_L001_R1_001.fastq.gz,/work/gmgi/Fisheries/eDNA/NY/raw_data/NTC_S551_L001_R2_001.fastq.gz
PAC,/work/gmgi/Fisheries/eDNA/NY/raw_data/PAC_S552_L001_R1_001.fastq.gz,/work/gmgi/Fisheries/eDNA/NY/raw_data/PAC_S552_L001_R2_001.fastq.gz
Site1_1,/work/gmgi/Fisheries/eDNA/NY/raw_data/Site1-1_S538_L001_R1_001.fastq.gz,/work/gmgi/Fisheries/eDNA/NY/raw_data/Site1-1_S538_L001_R2_001.fastq.gz
Site1_2,/work/gmgi/Fisheries/eDNA/NY/raw_data/Site1-2_S539_L001_R1_001.fastq.gz,/work/gmgi/Fisheries/eDNA/NY/raw_data/Site1-2_S539_L001_R2_001.fastq.gz
Site1_3,/work/gmgi/Fisheries/eDNA/NY/raw_data/Site1-3_S540_L001_R1_001.fastq.gz,/work/gmgi/Fisheries/eDNA/NY/raw_data/Site1-3_S540_L001_R2_001.fastq.gz
Site2_1,/work/gmgi/Fisheries/eDNA/NY/raw_data/Site2-1_S541_L001_R1_001.fastq.gz,/work/gmgi/Fisheries/eDNA/NY/raw_data/Site2-1_S541_L001_R2_001.fastq.gz
Site2_2,/work/gmgi/Fisheries/eDNA/NY/raw_data/Site2-2_S542_L001_R1_001.fastq.gz,/work/gmgi/Fisheries/eDNA/NY/raw_data/Site2-2_S542_L001_R2_001.fastq.gz
Site2_3,/work/gmgi/Fisheries/eDNA/NY/raw_data/Site2-3_S543_L001_R1_001.fastq.gz,/work/gmgi/Fisheries/eDNA/NY/raw_data/Site2-3_S543_L001_R2_001.fastq.gz
Site3_1,/work/gmgi/Fisheries/eDNA/NY/raw_data/Site3-1_S544_L001_R1_001.fastq.gz,/work/gmgi/Fisheries/eDNA/NY/raw_data/Site3-1_S544_L001_R2_001.fastq.gz
Site3_2,/work/gmgi/Fisheries/eDNA/NY/raw_data/Site3-2_S545_L001_R1_001.fastq.gz,/work/gmgi/Fisheries/eDNA/NY/raw_data/Site3-2_S545_L001_R2_001.fastq.gz
Site3_3,/work/gmgi/Fisheries/eDNA/NY/raw_data/Site3-3_S546_L001_R1_001.fastq.gz,/work/gmgi/Fisheries/eDNA/NY/raw_data/Site3-3_S546_L001_R2_001.fastq.gz
Site4_1,/work/gmgi/Fisheries/eDNA/NY/raw_data/Site4-1_S547_L001_R1_001.fastq.gz,/work/gmgi/Fisheries/eDNA/NY/raw_data/Site4-1_S547_L001_R2_001.fastq.gz
Site4_2,/work/gmgi/Fisheries/eDNA/NY/raw_data/Site4-2_S548_L001_R1_001.fastq.gz,/work/gmgi/Fisheries/eDNA/NY/raw_data/Site4-2_S548_L001_R2_001.fastq.gz
Site4_3,/work/gmgi/Fisheries/eDNA/NY/raw_data/Site4-3_S549_L001_R1_001.fastq.gz,/work/gmgi/Fisheries/eDNA/NY/raw_data/Site4-3_S549_L001_R2_001.fastq.gz
XB,/work/gmgi/Fisheries/eDNA/NY/raw_data/XB_S550_L001_R1_001.fastq.gz,/work/gmgi/Fisheries/eDNA/NY/raw_data/XB_S550_L001_R2_001.fastq.gz
