Sample	cutadapt_version	pairs_processed	r1_with_adapters	r2_with_adapters	pairs_too_short	pairs_written	bp_processed	bp_written	percent_trimmed	pairs_filtered_unexplained
NTC	4.6	261	140	235	0	122	131022	55510	57.63306925554487	139
PAC	4.6	236538	236381	233777	0	233665	118742076	106091003	10.654246098914424	2873
Site1_1	4.6	120887	120559	113848	0	113574	60685274	51648174	14.891751168496	7313
Site1_2	4.6	367357	362546	350146	0	345542	184413214	157150976	14.783234567995763	21815
Site1_3	4.6	248852	246905	236631	0	234783	124923704	106788117	14.517330513991164	14069
Site2_1	4.6	139339	138947	134067	0	133725	69948178	60821853	13.047266220429643	5614
Site2_2	4.6	112383	112200	107952	0	107793	56416266	49029818	13.092762998529537	4590
Site2_3	4.6	282842	282071	268865	0	268201	141986684	121969314	14.098061477370653	14641
Site3_1	4.6	4	4	4	0	4	2008	1816	9.56175298804781	
Site3_2	4.6	236331	234738	227354	0	225817	118638162	102688495	13.443959962899626	10514
Site3_3	4.6	131230	130752	125863	0	125462	65877460	57056506	13.389942478049397	5768
Site4_1	4.6	142760	142683	135603	0	135554	71665520	61617646	14.020513630543672	7206
Site4_2	4.6	22622	22611	22139	0	22132	11356244	10054486	11.462927355206528	490
Site4_3	4.6	389096	388877	374143	0	373970	195326192	170026780	12.952390942019695	15126
XB	4.6	13585	7671	12471	0	6827	6819670	3106524	54.447590572564366	6758
