Sample	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
NTC	57.63306925554487						
NTC_1		62.06896551724138	66.0	251.0	251	54.54545454545454	261.0
NTC_2		87.73946360153256	64.0	251.0	251	54.54545454545454	261.0
PAC	10.654246098914424						
PAC_1		99.2233805984662	50.0	251.0	251	45.45454545454545	236538.0
PAC_2		98.65391607268177	50.0	251.0	251	45.45454545454545	236538.0
Site1_1	14.891751168496						
Site1_1_1		95.43706105702019	49.0	251.0	251	45.45454545454545	120887.0
Site1_1_2		96.97403360162797	47.0	251.0	251	45.45454545454545	120887.0
Site1_2	14.783234567995763						
Site1_2_1		97.85576428378934	48.0	251.0	251	45.45454545454545	367357.0
Site1_2_2		97.22994253546278	47.0	251.0	251	45.45454545454545	367357.0
Site1_3	14.517330513991164						
Site1_3_1		97.70305241669747	48.0	251.0	251	45.45454545454545	248852.0
Site1_3_2		96.85957918762959	46.0	251.0	251	45.45454545454545	248852.0
Site2_1	13.047266220429643						
Site2_1_1		95.2145486906035	48.0	251.0	251	45.45454545454545	139339.0
Site2_1_2		97.39340744515175	46.0	251.0	251	45.45454545454545	139339.0
Site2_2	13.092762998529537						
Site2_2_1		95.37207584777057	48.0	251.0	251	45.45454545454545	112383.0
Site2_2_2		97.13657759625566	46.0	251.0	251	45.45454545454545	112383.0
Site2_3	14.098061477370653						
Site2_3_1		97.52441292311609	48.0	251.0	251	45.45454545454545	282842.0
Site2_3_2		96.8774085885406	47.0	251.0	251	45.45454545454545	282842.0
Site3_1	9.56175298804781						
Site3_1_1		25.0	50.0	251.0	251	45.45454545454545	4.0
Site3_1_2		50.0	49.0	251.0	251	45.45454545454545	4.0
Site3_2	13.443959962899626						
Site3_2_1		97.85131870131299	48.0	251.0	251	45.45454545454545	236331.0
Site3_2_2		97.2923569062036	46.0	251.0	251	45.45454545454545	236331.0
Site3_3	13.389942478049397						
Site3_3_1		94.69252457517337	48.0	251.0	251	45.45454545454545	131230.0
Site3_3_2		97.2529147298636	47.0	251.0	251	45.45454545454545	131230.0
Site4_1	14.020513630543672						
Site4_1_1		96.50602409638554	50.0	251.0	251	45.45454545454545	142760.0
Site4_1_2		96.03670495937237	50.0	251.0	251	45.45454545454545	142760.0
Site4_2	11.462927355206528						
Site4_2_1		94.78825921669171	49.0	251.0	251	45.45454545454545	22622.0
Site4_2_2		94.68658827689859	49.0	251.0	251	45.45454545454545	22622.0
Site4_3	12.952390942019695						
Site4_3_1		97.21277011328824	50.0	251.0	251	45.45454545454545	389096.0
Site4_3_2		97.61909657256821	49.0	251.0	251	45.45454545454545	389096.0
XB	54.447590572564366						
XB_1		95.9366948840633	63.0	251.0	251	45.45454545454545	13585.0
XB_2		96.19433198380567	62.0	251.0	251	45.45454545454545	13585.0
