Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
NTC_S551_L001_R1_001	62.06896551724138	66.0	251.0	251	54.54545454545454	261.0
NTC_S551_L001_R2_001	87.73946360153256	64.0	251.0	251	54.54545454545454	261.0
PAC_S552_L001_R1_001	99.2233805984662	50.0	251.0	251	45.45454545454545	236538.0
PAC_S552_L001_R2_001	98.65391607268177	50.0	251.0	251	45.45454545454545	236538.0
Site1-1_S538_L001_R1_001	95.43706105702019	49.0	251.0	251	45.45454545454545	120887.0
Site1-1_S538_L001_R2_001	96.97403360162797	47.0	251.0	251	45.45454545454545	120887.0
Site1-2_S539_L001_R1_001	97.85576428378934	48.0	251.0	251	45.45454545454545	367357.0
Site1-2_S539_L001_R2_001	97.22994253546278	47.0	251.0	251	45.45454545454545	367357.0
Site1-3_S540_L001_R1_001	97.70305241669747	48.0	251.0	251	45.45454545454545	248852.0
Site1-3_S540_L001_R2_001	96.85957918762959	46.0	251.0	251	45.45454545454545	248852.0
Site2-1_S541_L001_R1_001	95.2145486906035	48.0	251.0	251	45.45454545454545	139339.0
Site2-1_S541_L001_R2_001	97.39340744515175	46.0	251.0	251	45.45454545454545	139339.0
Site2-2_S542_L001_R1_001	95.37207584777057	48.0	251.0	251	45.45454545454545	112383.0
Site2-2_S542_L001_R2_001	97.13657759625566	46.0	251.0	251	45.45454545454545	112383.0
Site2-3_S543_L001_R1_001	97.52441292311609	48.0	251.0	251	45.45454545454545	282842.0
Site2-3_S543_L001_R2_001	96.8774085885406	47.0	251.0	251	45.45454545454545	282842.0
Site3-1_S544_L001_R1_001	25.0	50.0	251.0	251	40.0	4.0
Site3-1_S544_L001_R2_001	50.0	49.0	251.0	251	40.0	4.0
Site3-2_S545_L001_R1_001	97.85131870131299	48.0	251.0	251	45.45454545454545	236331.0
Site3-2_S545_L001_R2_001	97.2923569062036	46.0	251.0	251	45.45454545454545	236331.0
Site3-3_S546_L001_R1_001	94.69252457517337	48.0	251.0	251	45.45454545454545	131230.0
Site4-1_S547_L001_R1_001	96.50602409638554	50.0	251.0	251	45.45454545454545	142760.0
Site4-1_S547_L001_R2_001	96.03670495937237	50.0	251.0	251	45.45454545454545	142760.0
Site4-2_S548_L001_R2_001	94.68658827689859	49.0	251.0	251	45.45454545454545	22622.0
Site4-3_S549_L001_R1_001	97.21277011328824	50.0	251.0	251	45.45454545454545	389096.0
Site4-3_S549_L001_R2_001	97.61909657256821	49.0	251.0	251	45.45454545454545	389096.0
XB_S550_L001_R1_001	95.9366948840633	63.0	251.0	251	54.54545454545454	13585.0
XB_S550_L001_R2_001	96.19433198380567	62.0	251.0	251	45.45454545454545	13585.0
