.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
NTC_1	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	0.25
NTC_2	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	0.25
PAC_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
PAC_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
Site1_1_1	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Site1_1_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
Site1_2_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
Site1_2_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
Site1_3_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
Site1_3_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
Site2_1_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
Site2_1_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
Site2_2_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
Site2_2_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
Site2_3_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
Site2_3_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
Site3_1_1	1	1	0.25	1	0.25	0.25	1	1	1	0.25	0.25
Site3_1_2	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	0.25
Site3_2_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
Site3_2_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
Site3_3_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
Site3_3_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
Site4_1_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
Site4_1_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
Site4_2_1	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Site4_2_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
Site4_3_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
Site4_3_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
XB_1	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
XB_2	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
