Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
NTC_1	38.31417624521073	61.68582375478971
NTC_2	45.97701149425287	54.02298850574723
PAC_1	92.9698399411511	2.9576643076376854
PAC_2	93.23279980383703	2.4516145397356865
Site1_1_1	38.47973727530669	45.41265810219464
Site1_1_2	37.32907591386998	49.62568348953979
Site1_2_1	51.515283498068634	36.55898757884024
Site1_2_2	48.098171533413	39.16435510960728
Site1_3_1	50.095639175092025	37.9832189413788
Site1_3_2	47.07617379004388	39.793933743751325
Site2_1_1	51.095529607647535	32.348445158928925
Site2_1_2	51.56058246434954	36.38392696947733
Site2_2_1	52.19472696048335	32.95427244334111
Site2_2_2	51.89752898570068	34.966142566046464
Site2_3_1	44.14054489785817	43.04417307189171
Site2_3_2	40.539240989669146	44.98483252133702
Site3_1_1	50	50
Site3_1_2	75	25
Site3_2_1	50.38822668206879	37.577380876821024
Site3_2_2	48.06479048453229	39.935091037570196
Site3_3_1	46.673778861540804	36.0435875943001
Site3_3_2	45.99862836241713	42.00792501714549
Site4_1_1	11.692350798543009	74.49915942841126
Site4_1_2	11.160689268702718	74.0361445783133
Site4_2_1	26.801343824595524	62.19609229953146
Site4_2_2	25.223234019980552	63.77420210414641
Site4_3_1	20.226627875896952	65.12069000966339
Site4_3_2	17.10066410346033	70.15595123054466
XB_1	46.669120353330875	45.991902834008094
XB_2	48.00883327199117	45.41037909458962
