Sample	Unique Reads	Duplicate Reads
NTC_1	99	162
NTC_2	32	229
PAC_1	1837	234701
PAC_2	3184	233354
Site1_1_1	5516	115371
Site1_1_2	3658	117229
Site1_2_1	7877	359480
Site1_2_2	10176	357181
Site1_3_1	5716	243136
Site1_3_2	7815	241037
Site2_1_1	6668	132671
Site2_1_2	3632	135707
Site2_2_1	5201	107182
Site2_2_2	3218	109165
Site2_3_1	7002	275840
Site2_3_2	8832	274010
Site3_1_1	3	1
Site3_1_2	2	2
Site3_2_1	5078	231253
Site3_2_2	6399	229932
Site3_3_1	6965	124265
Site3_3_2	3605	127625
Site4_1_1	4988	137772
Site4_1_2	5658	137102
Site4_2_1	1179	21443
Site4_2_2	1202	21420
Site4_3_1	10845	378251
Site4_3_2	9264	379832
XB_1	552	13033
XB_2	517	13068
