task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	9c/594cf7	11971	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (NTC)	COMPLETED	0	2024-09-04 12:10:10.329	551ms	82ms	38.2%	1.5 MB	3.9 MB	112.3 KB	923 B
4	df/49ca11	12274	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (PAC)	COMPLETED	0	2024-09-04 12:10:11.911	831ms	59ms	49.2%	1.5 MB	3.9 MB	112.3 KB	923 B
5	70/a1cd92	12687	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Site1_1)	COMPLETED	0	2024-09-04 12:10:12.780	670ms	96ms	43.6%	1.5 MB	3.9 MB	112.3 KB	923 B
3	14/254e88	12266	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (NTC)	COMPLETED	0	2024-09-04 12:10:11.637	2.5s	2s	89.9%	3 MB	11.6 MB	8.5 MB	445.4 KB
10	cd/4482f7	13285	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Site1_2)	COMPLETED	0	2024-09-04 12:10:15.253	603ms	56ms	53.2%	1.5 MB	3.9 MB	112.3 KB	923 B
13	2f/785e4c	13722	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Site1_3)	COMPLETED	0	2024-09-04 12:10:16.900	531ms	55ms	40.7%	1.5 MB	3.9 MB	112.3 KB	923 B
14	99/b11030	13726	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Site2_1)	COMPLETED	0	2024-09-04 12:10:16.950	609ms	118ms	21.0%	1.9 MB	6.4 MB	112.3 KB	923 B
17	e9/3e9662	14169	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Site2_2)	COMPLETED	0	2024-09-04 12:10:17.602	649ms	45ms	77.8%	1.5 MB	3.9 MB	112.3 KB	923 B
2	c9/08c36f	13046	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (NTC)	COMPLETED	0	2024-09-04 12:10:14.198	5.1s	5s	205.4%	308.3 MB	63.7 GB	12.5 MB	5.7 MB
22	41/9d1705	14838	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Site2_3)	COMPLETED	0	2024-09-04 12:10:20.407	536ms	68ms	30.4%	1.5 MB	3.9 MB	112.3 KB	923 B
23	a8/80cbbd	14876	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Site3_1)	COMPLETED	0	2024-09-04 12:10:20.487	659ms	59ms	47.8%	1.5 MB	3.9 MB	112.3 KB	923 B
6	df/87ea5c	14641	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (PAC)	COMPLETED	0	2024-09-04 12:10:19.371	3.1s	3s	303.8%	290.8 MB	5.7 GB	524.9 MB	514.8 MB
28	ae/cedb97	15573	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Site3_2)	COMPLETED	0	2024-09-04 12:10:22.182	547ms	81ms	36.9%	1.5 MB	3.9 MB	112.3 KB	923 B
29	8e/3bfda0	15607	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Site3_3)	COMPLETED	0	2024-09-04 12:10:22.211	539ms	64ms	43.3%	1.5 MB	3.9 MB	112.3 KB	923 B
34	af/03436f	16396	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Site4_1)	COMPLETED	0	2024-09-04 12:10:23.814	636ms	48ms	54.7%	1.5 MB	3.9 MB	112.3 KB	923 B
35	26/1fa70c	16404	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Site4_2)	COMPLETED	0	2024-09-04 12:10:23.856	676ms	81ms	40.3%	1.9 MB	6.4 MB	112.3 KB	923 B
40	83/04702b	17021	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Site4_3)	COMPLETED	0	2024-09-04 12:10:26.594	618ms	77ms	50.6%	1.5 MB	3.9 MB	112.3 KB	923 B
