ASV_ID	HM1_IT_MF	HM2_IT_MF	HM3_IT_MF	HM4_IT_MF	HM5_IT_MF	MRG1_IT_MF	MRG2_IT_MF	MRG3_IT_MF	MRG4_IT_MF	MRG5_IT_MF	WML1_IT_MF	WML2_IT_MF	WML3_IT_MF	WML4_IT_MF	WML5_IT_MF	XB_IT_MF
786f561bdd17566de66e70e9831d8636	918	4817	6149	45241	0	3981	150779	79	13096	0	113	0	391	180	0	72
018c3ee12f682090d674e96c2d5ac2c1	2244	79435	9915	4292	1267	48	13287	7746	7250	5220	515	2473	0	0	0	0
addd57bd3b3937b61b32dece26f8f166	0	0	0	58038	0	0	0	0	0	0	0	3577	3218	4886	0	0
a6cbea730d2ae8135c02c9447b6c1022	1104	13637	2052	14955	676	6	7440	4307	4758	2218	542	1717	4417	5894	2396	1588
17b6fa43d717f42a7084a62b84aa49dc	266	30872	4231	7090	247	0	3350	1509	3518	1757	334	959	0	0	0	0
70a542ba14c320ce7ac8414ddf50994c	8806	0	0	31196	5593	0	0	0	0	0	2946	3698	0	0	0	0
8e43592b10d3b91ea72da2b9b1e9ffd4	0	0	0	39624	0	0	0	0	0	0	1018	0	0	0	0	0
95f63cecd6dfec3dd9c4eebcb7a4e32f	218	9394	1967	1068	949	0	9045	3208	3401	1364	259	653	604	5064	352	98
10c227e87a25415bb8731154ed48ed09	355	15449	2297	1592	126	0	11356	1021	788	580	93	352	0	0	0	0
88c07027c7ac300c32beba4c9ce17b13	34	18188	2040	1938	398	0	2121	2649	232	1118	201	713	4	482	140	5
1716555bb1b20170fc0bce51f5d2463f	0	0	0	26711	0	0	0	0	0	0	0	0	0	0	0	0
5f63ec727e616921dec54f7e7b85941c	0	0	0	0	0	0	0	0	0	0	0	0	25866	35	0	0
2ab00842d083b4a9a2f876c7552ec95c	0	0	0	18507	4100	0	0	0	0	0	0	915	0	0	0	0
d1e476849f7d98617d8deb661eae2919	20192	0	0	0	0	0	0	0	0	0	2694	0	0	0	0	0
7afa500f3eb7105fae229aef70f85e4c	0	0	3676	0	3654	0	0	0	0	0	0	0	3010	4996	0	6992
9fbc1cb42f33a592ccfd67382a13ac31	118	12832	1482	2646	214	26	3118	45	1325	39	0	0	0	37	36	329
2958e0381122a30176a6c71ed42caed8	362	14361	1793	20	138	0	2239	716	639	731	161	655	0	0	0	0
72fe6e074c918798c457dfa57f155d84	154	2236	965	236	2	53	16576	13	279	0	0	0	428	722	10	56
8fc90304f0da8bda603fa8fd8dd69d87	0	0	0	0	0	76	19866	0	0	0	0	0	0	0	0	0
0c15ee2999cbc7acb86fb494ae65a36d	0	0	69	13201	0	74	5722	0	19	0	0	0	0	0	0	0
377eb8b4ca0b49f26114c22470b3d9de	0	0	0	0	0	0	0	17628	0	0	0	0	0	0	0	0
3d485f80afd961dab9d323473aab3eb2	0	0	0	0	0	17348	0	0	0	0	0	0	0	0	0	0
35cef6b3a716191eaf53bc453aa086d1	0	0	0	0	1534	0	0	0	0	0	0	0	0	13057	0	1046
d0587f348f1616fdabfe7fa00ae8da5a	0	0	0	0	0	0	0	0	0	0	0	0	0	8366	0	5783
3db7f492170d76da7bcb931341f15ffb	2874	0	0	0	0	0	0	0	0	0	2886	2284	2629	2168	0	0
a02ef7f5fb571ba596f7846802d3ce4b	0	0	0	0	0	0	0	0	12465	0	0	0	0	0	0	0
c583cd107f6d3d56eed42bb3959fd8a4	99	41	242	411	0	11	8805	0	1792	0	0	0	0	0	0	0
cb2a03ab368aa1d960172e68de0625da	11	63	20	79	8	3	4083	1	13	0	6	9	553	4749	277	854
0b7827a55021712818337667e7a43d36	0	7037	20	0	0	0	87	1107	292	1092	51	376	213	0	183	227
df89a616cc7b4041921fc07ed6644d01	4269	0	0	0	0	0	0	0	0	0	6293	0	0	0	0	0
cbec66f68264aed2957363d388c0ea8c	9	190	0	9173	109	0	0	4	7	0	173	256	0	0	0	0
