.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
HM1-IT-MF_S1_L001_R1_001	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
HM1-IT-MF_S1_L001_R2_001	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
HM2-IT-MF_S2_L001_R1_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.25	1
HM2-IT-MF_S2_L001_R2_001	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
HM3-IT-MF_S3_L001_R1_001	1	0.25	0.5	1	0.25	0.25	1	1	0.25	0.25	1
HM3-IT-MF_S3_L001_R2_001	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
HM4-IT-MF_S4_L001_R1_001	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
HM4-IT-MF_S4_L001_R2_001	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
HM5-IT-MF_S5_L001_R1_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
HM5-IT-MF_S5_L001_R2_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
MRG1-IT-MF_S6_L001_R1_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
MRG1-IT-MF_S6_L001_R2_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
MRG2-IT-MF_S7_L001_R1_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.25	1
MRG2-IT-MF_S7_L001_R2_001	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
MRG3-IT-MF_S8_L001_R1_001	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
MRG3-IT-MF_S8_L001_R2_001	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
MRG4-IT-MF_S9_L001_R1_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.25	0.25
MRG4-IT-MF_S9_L001_R2_001	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
MRG5-IT-MF_S10_L001_R1_001	1	0.25	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
MRG5-IT-MF_S10_L001_R2_001	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
WML1-IT-MF_S11_L001_R1_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
WML1-IT-MF_S11_L001_R2_001	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
WML2-IT-MF_S12_L001_R1_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
WML2-IT-MF_S12_L001_R2_001	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
WML3-IT-MF_S13_L001_R1_001	1	0.25	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
WML3-IT-MF_S13_L001_R2_001	1	0.5	1	1	0.25	0.25	1	1	0.25	0.25	0.25
WML4-IT-MF_S14_L001_R1_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.25	0.25
WML4-IT-MF_S14_L001_R2_001	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
WML5-IT-MF_S15_L001_R1_001	1	0.25	0.5	1	0.25	0.25	1	1	0.25	0.25	1
WML5-IT-MF_S15_L001_R2_001	1	0.5	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
XB-IT-MF_S16_L001_R1_001	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
XB-IT-MF_S16_L001_R2_001	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
