Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55
HM1-IT-MF_S1_L001_R1_001 - nextera_transposase_sequence	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(12.0, 0.0)	(17.0, 0.0)	(22.0, 0.0)	(27.0, 0.0)	(32.0, 0.0)	(37.0, 0.0)	(42.0, 0.0)	(47.0, 0.0004826080137060676)	(52.0, 0.001206520034265169)	(57.0, 0.001206520034265169)	(62.0, 0.001206520034265169)	(67.0, 0.001206520034265169)	(72.0, 0.001206520034265169)	(77.0, 0.001206520034265169)	(82.0, 0.001206520034265169)	(87.0, 0.001206520034265169)	(92.0, 0.001206520034265169)	(97.0, 0.001206520034265169)	(102.0, 0.001206520034265169)	(107.0, 0.001206520034265169)	(112.0, 0.001206520034265169)	(117.0, 0.001206520034265169)	(122.0, 0.001206520034265169)	(127.0, 0.003136952089089439)	(132.0, 0.003619560102795507)	(137.0, 0.003619560102795507)	(142.0, 0.003619560102795507)	(147.0, 0.003619560102795507)	(152.0, 0.003619560102795507)	(157.0, 0.003619560102795507)	(162.0, 0.003619560102795507)	(167.0, 0.003860864109648541)	(172.0, 0.005549992157619778)	(177.0, 0.08083684229576633)	(182.0, 0.12668460359784275)	(187.0, 0.12668460359784275)	(192.0, 0.1271672116115488)	(197.0, 0.12789112363210792)	(202.0, 0.12789112363210792)	(207.0, 0.13151068373490343)	(212.0, 0.17446279695474343)	(217.0, 24.911019147472945)	(222.0, 55.95477962911575)	(227.0, 56.5278766453917)	(232.0, 56.5278766453917)	(237.0, 56.5278766453917)	(240.0, 56.5278766453917)
HM1-IT-MF_S1_L001_R2_001 - nextera_transposase_sequence	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(12.0, 0.0)	(17.0, 0.0)	(22.0, 0.0)	(27.0, 0.0)	(32.0, 0.0)	(37.0, 0.0)	(42.0, 0.0)	(47.0, 0.0004826080137060676)	(52.0, 0.001206520034265169)	(57.0, 0.001206520034265169)	(62.0, 0.001206520034265169)	(67.0, 0.001206520034265169)	(72.0, 0.001206520034265169)	(77.0, 0.001206520034265169)	(82.0, 0.001206520034265169)	(87.0, 0.001206520034265169)	(92.0, 0.001206520034265169)	(97.0, 0.001206520034265169)	(102.0, 0.001206520034265169)	(107.0, 0.001206520034265169)	(112.0, 0.001206520034265169)	(117.0, 0.001206520034265169)	(122.0, 0.001206520034265169)	(127.0, 0.003136952089089439)	(132.0, 0.003619560102795507)	(137.0, 0.003619560102795507)	(142.0, 0.003619560102795507)	(147.0, 0.003619560102795507)	(152.0, 0.003619560102795507)	(157.0, 0.003619560102795507)	(162.0, 0.003619560102795507)	(167.0, 0.003860864109648541)	(172.0, 0.0053086881507667435)	(177.0, 0.08349118637114968)	(182.0, 0.1315106837349034)	(187.0, 0.1315106837349034)	(192.0, 0.1319932917486095)	(197.0, 0.1327172037691686)	(202.0, 0.1327172037691686)	(207.0, 0.13513024383769895)	(212.0, 0.17687583702327375)	(217.0, 27.45822424381357)	(222.0, 63.405040840703165)	(227.0, 63.99502913745882)	(232.0, 63.99502913745882)	(237.0, 63.99502913745882)	(240.0, 63.99502913745883)
HM1-IT-MF_S1_L001_R2_001 - polya	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(12.0, 0.009410856267268317)	(17.0, 0.025578224726421583)	(22.0, 0.026543440753833712)	(27.0, 0.026784744760686752)	(32.0, 0.028715176815511022)	(37.0, 0.028956480822364055)	(42.0, 0.028956480822364055)	(47.0, 0.030645608870335295)	(52.0, 0.0342651689731308)	(57.0, 0.043917329247252154)	(62.0, 0.051156449452843165)	(67.0, 0.053086881507667424)	(72.0, 0.053086881507667424)	(77.0, 0.053086881507667424)	(82.0, 0.05381079352822653)	(87.0, 0.05429340154193261)	(92.0, 0.05670644161046294)	(97.0, 0.06635860188458428)	(102.0, 0.07601076215870564)	(107.0, 0.07842380222723598)	(112.0, 0.07842380222723598)	(117.0, 0.07963032226150116)	(122.0, 0.08083684229576632)	(127.0, 0.08156075431632542)	(132.0, 0.08324988236429666)	(137.0, 0.09241943462471194)	(142.0, 0.1064150670221879)	(147.0, 0.1122063631866607)	(152.0, 0.11365418722777891)	(157.0, 0.11558461928260319)	(162.0, 0.1170324433237214)	(167.0, 0.1170324433237214)	(172.0, 0.1170324433237214)	(177.0, 0.11823896335798656)	(182.0, 0.11823896335798656)	(187.0, 0.11823896335798656)	(192.0, 0.11823896335798656)	(197.0, 0.11823896335798656)	(202.0, 0.11944548339225172)	(207.0, 0.11944548339225172)	(212.0, 0.12016939541281083)	(217.0, 0.1220998274676351)	(222.0, 0.12668460359784275)	(227.0, 0.13802589191993533)	(232.0, 0.1476780521940567)	(237.0, 0.1484019642146158)	(240.0, 0.1484019642146158)
HM1-IT-MF_S1_L001_R2_001 - polyg	(1.0, 0.4331406923011957)	(2.0, 0.4524450128494384)	(3.0, 0.4524450128494384)	(4.0, 0.4536515328837035)	(5.0, 0.4536515328837035)	(6.0, 0.4536515328837035)	(7.0, 0.4536515328837035)	(8.0, 0.4536515328837035)	(9.0, 0.4536515328837035)	(12.0, 0.4538928368905566)	(17.0, 0.4548580529179687)	(22.0, 0.4548580529179687)	(27.0, 0.4548580529179687)	(32.0, 0.4548580529179687)	(37.0, 0.4548580529179687)	(42.0, 0.4548580529179687)	(47.0, 0.4548580529179687)	(52.0, 0.4548580529179687)	(57.0, 0.4548580529179687)	(62.0, 0.4548580529179687)	(67.0, 0.4548580529179687)	(72.0, 0.4548580529179687)	(77.0, 0.4548580529179687)	(82.0, 0.4548580529179687)	(87.0, 0.4548580529179687)	(92.0, 0.4548580529179687)	(97.0, 0.4548580529179687)	(102.0, 0.45606457295223385)	(107.0, 0.45606457295223385)	(112.0, 0.45606457295223385)	(117.0, 0.45606457295223385)	(122.0, 0.4563058769590869)	(127.0, 0.45896022103447026)	(132.0, 0.4596841330550293)	(137.0, 0.4596841330550293)	(142.0, 0.4596841330550293)	(147.0, 0.4596841330550293)	(152.0, 0.46040804507558847)	(157.0, 0.46089065308929456)	(162.0, 0.46089065308929456)	(167.0, 0.46209717312355975)	(172.0, 0.4628210851441188)	(177.0, 0.4633036931578249)	(182.0, 0.4633036931578249)	(187.0, 0.4637863011715309)	(192.0, 0.4657167332263552)	(197.0, 0.4657167332263552)	(202.0, 0.4659580372332083)	(207.0, 0.4681297732948856)	(212.0, 0.4688536853154447)	(217.0, 0.46933629332915067)	(222.0, 0.46933629332915067)	(227.0, 0.46933629332915067)	(232.0, 0.46933629332915067)	(237.0, 0.46981890134285675)	(240.0, 0.4705428133634159)
HM2-IT-MF_S2_L001_R1_001 - nextera_transposase_sequence	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(12.0, 0.0)	(17.0, 0.0)	(22.0, 0.0)	(27.0, 0.0)	(32.0, 0.0)	(37.0, 0.0)	(42.0, 0.0)	(47.0, 0.1629713590622581)	(52.0, 0.4012081167754064)	(57.0, 0.4012081167754064)	(62.0, 0.4012081167754064)	(67.0, 0.4012081167754064)	(72.0, 0.4012081167754064)	(77.0, 0.4012081167754064)	(82.0, 0.4012081167754064)	(87.0, 0.4012081167754064)	(92.0, 0.4012081167754064)	(97.0, 0.4012081167754064)	(102.0, 0.4012081167754064)	(107.0, 0.4012081167754064)	(112.0, 0.4012081167754064)	(117.0, 0.4012081167754064)	(122.0, 0.4012081167754064)	(127.0, 0.4012772310074091)	(132.0, 0.4015536879354197)	(137.0, 0.4015536879354197)	(142.0, 0.4015536879354197)	(147.0, 0.4015536879354197)	(152.0, 0.4015536879354197)	(157.0, 0.4015536879354197)	(162.0, 0.4015536879354197)	(167.0, 0.4015536879354197)	(172.0, 0.4015536879354197)	(177.0, 0.4015536879354197)	(182.0, 0.4015536879354197)	(187.0, 0.4015536879354197)	(192.0, 0.40279774411146746)	(197.0, 0.40466382837553916)	(202.0, 0.40466382837553916)	(207.0, 0.40466382837553916)	(212.0, 0.40466382837553916)	(217.0, 0.42436138449629546)	(222.0, 0.45338936193741014)	(227.0, 0.45338936193741014)	(232.0, 0.45338936193741014)	(237.0, 0.45338936193741014)	(240.0, 0.4537349330974234)
HM2-IT-MF_S2_L001_R1_001 - polyg	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0003455711600132699)	(7.0, 0.0003455711600132699)	(8.0, 0.0003455711600132699)	(9.0, 0.0003455711600132699)	(12.0, 0.0003455711600132699)	(17.0, 0.0003455711600132699)	(22.0, 0.0003455711600132699)	(27.0, 0.0003455711600132699)	(32.0, 0.0003455711600132699)	(37.0, 0.0003455711600132699)	(42.0, 0.0003455711600132699)	(47.0, 0.0003455711600132699)	(52.0, 0.0003455711600132699)	(57.0, 0.0003455711600132699)	(62.0, 0.0003455711600132699)	(67.0, 0.0003455711600132699)	(72.0, 0.0003455711600132699)	(77.0, 0.0003455711600132699)	(82.0, 0.0003455711600132699)	(87.0, 0.00041468539201592393)	(92.0, 0.0006911423200265398)	(97.0, 0.0006911423200265398)	(102.0, 0.0007602565520291938)	(107.0, 0.0017969700320690034)	(112.0, 0.0020734269600796197)	(117.0, 0.022116554240849275)	(122.0, 0.3428757049651664)	(127.0, 0.4049402853035497)	(132.0, 0.4166897047440009)	(137.0, 0.42332467101625565)	(142.0, 0.42581278336835116)	(147.0, 0.42705683954439894)	(152.0, 0.4271259537764016)	(157.0, 0.42740241070441226)	(162.0, 0.4279553245604334)	(167.0, 0.4287846953444653)	(172.0, 0.4290611522724759)	(177.0, 0.42919938073648123)	(182.0, 0.42919938073648123)	(187.0, 0.42989052305650777)	(192.0, 0.43092723653654763)	(197.0, 0.4312728076965609)	(202.0, 0.43189483578458476)	(207.0, 0.4323095211766007)	(212.0, 0.4323095211766007)	(217.0, 0.43300066349662725)	(222.0, 0.43334623465664057)	(227.0, 0.4336918058166538)	(232.0, 0.4336918058166538)	(237.0, 0.4336918058166538)	(240.0, 0.4336918058166538)
HM2-IT-MF_S2_L001_R2_001 - nextera_transposase_sequence	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(12.0, 0.0)	(17.0, 0.0)	(22.0, 0.0)	(27.0, 0.0)	(32.0, 0.0)	(37.0, 0.0)	(42.0, 0.0)	(47.0, 0.16953721110251024)	(52.0, 0.41744996129603)	(57.0, 0.41744996129603)	(62.0, 0.41744996129603)	(67.0, 0.41744996129603)	(72.0, 0.41744996129603)	(77.0, 0.41744996129603)	(82.0, 0.41744996129603)	(87.0, 0.41744996129603)	(92.0, 0.41744996129603)	(97.0, 0.41744996129603)	(102.0, 0.41744996129603)	(107.0, 0.41744996129603)	(112.0, 0.41744996129603)	(117.0, 0.41744996129603)	(122.0, 0.41744996129603)	(127.0, 0.4175190755280327)	(132.0, 0.41779553245604334)	(137.0, 0.41779553245604334)	(142.0, 0.41779553245604334)	(147.0, 0.41779553245604334)	(152.0, 0.41779553245604334)	(157.0, 0.417864646688046)	(162.0, 0.4181411036160566)	(167.0, 0.4181411036160566)	(172.0, 0.4181411036160566)	(177.0, 0.4181411036160566)	(182.0, 0.4181411036160566)	(187.0, 0.4181411036160566)	(192.0, 0.4193851597921044)	(197.0, 0.4212512440561761)	(202.0, 0.4212512440561761)	(207.0, 0.4212512440561761)	(212.0, 0.4212512440561761)	(217.0, 0.45442607541745)	(222.0, 0.5034971801393343)	(227.0, 0.5034971801393343)	(232.0, 0.5034971801393343)	(237.0, 0.5034971801393343)	(240.0, 0.5041883224593608)
HM2-IT-MF_S2_L001_R2_001 - polya	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(12.0, 0.0056673670242176274)	(17.0, 0.02184009731283866)	(22.0, 0.024535552360942164)	(27.0, 0.03068671900917837)	(32.0, 0.03683788565741457)	(37.0, 0.042297909985624244)	(42.0, 0.04907110472188433)	(47.0, 0.05273415901802499)	(52.0, 0.05701924140218954)	(57.0, 0.07630211213093)	(62.0, 0.09219838549154043)	(67.0, 0.09987006524383502)	(72.0, 0.1020126064359173)	(77.0, 0.10304931991595709)	(82.0, 0.1040860333959969)	(87.0, 0.1051227468760367)	(92.0, 0.10691971690810571)	(97.0, 0.1163883666924693)	(102.0, 0.12523498838880903)	(107.0, 0.1315934977330532)	(112.0, 0.13498009510118325)	(117.0, 0.13795200707729735)	(122.0, 0.14216797522945923)	(127.0, 0.1465912860776291)	(132.0, 0.14831914187769546)	(137.0, 0.14935585535773527)	(142.0, 0.1550232223819529)	(147.0, 0.1673255556784253)	(152.0, 0.17299292270264294)	(157.0, 0.1734767223266615)	(162.0, 0.1734767223266615)	(167.0, 0.17409875041468542)	(172.0, 0.17568837775074644)	(177.0, 0.17741623355081276)	(182.0, 0.177969147406834)	(187.0, 0.177969147406834)	(192.0, 0.177969147406834)	(197.0, 0.17866028972686054)	(202.0, 0.18018080283091895)	(207.0, 0.1825306867190092)	(212.0, 0.18453499944708615)	(217.0, 0.1859172840871392)	(222.0, 0.1862628552471525)	(227.0, 0.1867466548711711)	(232.0, 0.1875760256552029)	(237.0, 0.18799071104721884)	(240.0, 0.18868185336724538)
HM2-IT-MF_S2_L001_R2_001 - polyg	(1.0, 0.4112296804157912)	(2.0, 0.4392209443768661)	(3.0, 0.4392209443768661)	(4.0, 0.44094880017693244)	(5.0, 0.44198551365697225)	(6.0, 0.44198551365697225)	(7.0, 0.4426766559769988)	(8.0, 0.44302222713701206)	(9.0, 0.44302222713701206)	(12.0, 0.44329868406502265)	(17.0, 0.4439898263850492)	(22.0, 0.445026539865089)	(27.0, 0.445441225257105)	(32.0, 0.445441225257105)	(37.0, 0.44571768218511554)	(42.0, 0.4457867964171182)	(47.0, 0.4457867964171182)	(52.0, 0.4457867964171182)	(57.0, 0.4457867964171182)	(62.0, 0.4457867964171182)	(67.0, 0.4457867964171182)	(72.0, 0.4460632533451288)	(77.0, 0.4461323675771315)	(82.0, 0.4461323675771315)	(87.0, 0.44640882450514213)	(92.0, 0.446823509897158)	(97.0, 0.44716908105717124)	(102.0, 0.44716908105717124)	(107.0, 0.44716908105717124)	(112.0, 0.44716908105717124)	(117.0, 0.44716908105717124)	(122.0, 0.4706679199380736)	(127.0, 0.7675135463894726)	(132.0, 0.793984297246489)	(137.0, 0.8250165874156806)	(142.0, 0.8344852372000442)	(147.0, 0.8432627446643812)	(152.0, 0.8461655424084927)	(157.0, 0.8485845405285856)	(162.0, 0.8537681079287847)	(167.0, 0.8654484131372332)	(172.0, 0.8741568063695677)	(177.0, 0.8765066902576578)	(182.0, 0.8776125179697003)	(187.0, 0.8777507464337055)	(192.0, 0.8777507464337055)	(197.0, 0.8777507464337055)	(202.0, 0.8778889748977109)	(207.0, 0.8783727745217297)	(212.0, 0.8784418887537322)	(217.0, 0.8787874599137455)	(222.0, 0.8787874599137455)	(227.0, 0.8787874599137455)	(232.0, 0.8787874599137455)	(237.0, 0.8799624018577905)	(240.0, 0.880860886873825)
HM3-IT-MF_S3_L001_R1_001 - nextera_transposase_sequence	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(12.0, 0.0)	(17.0, 0.0)	(22.0, 0.0)	(27.0, 0.0)	(32.0, 0.0)	(37.0, 0.0)	(42.0, 0.0)	(47.0, 0.0)	(52.0, 0.0)	(57.0, 0.0)	(62.0, 0.0)	(67.0, 0.0)	(72.0, 0.0)	(77.0, 0.0)	(82.0, 0.0)	(87.0, 0.0)	(92.0, 0.0)	(97.0, 0.0)	(102.0, 0.0)	(107.0, 0.0)	(112.0, 0.0)	(117.0, 0.0)	(122.0, 0.0)	(127.0, 0.0)	(132.0, 0.0)	(137.0, 0.0)	(142.0, 0.0)	(147.0, 0.0)	(152.0, 0.0)	(157.0, 0.0)	(162.0, 0.0012688262088741706)	(167.0, 0.0012688262088741706)	(172.0, 0.0012688262088741706)	(177.0, 0.0012688262088741706)	(182.0, 0.0012688262088741706)	(187.0, 0.0012688262088741706)	(192.0, 0.0012688262088741706)	(197.0, 0.0012688262088741706)	(202.0, 0.0012688262088741706)	(207.0, 0.0012688262088741706)	(212.0, 0.0012688262088741706)	(217.0, 0.3593315823531651)	(222.0, 3.8643371017471737)	(227.0, 4.300813317599888)	(232.0, 4.920508038014034)	(237.0, 4.920508038014034)	(240.0, 4.920508038014034)
