Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
HM1-IT-MF_S1_L001_R1_001	24.828975785142912	65.12191884946249
HM1-IT-MF_S1_L001_R2_001	24.92429086784986	64.54882183318654
HM2-IT-MF_S2_L001_R1_001	40.895582218290386	47.74445703859338
HM2-IT-MF_S2_L001_R2_001	55.67151387813779	37.835549596372886
HM3-IT-MF_S3_L001_R1_001	16.446525319427	61.97581617245886
HM3-IT-MF_S3_L001_R2_001	26.21648712775811	64.90426706254044
HM4-IT-MF_S4_L001_R1_001	15.493049239963621	73.124810532242
HM4-IT-MF_S4_L001_R2_001	15.417532804988957	73.24904724784548
HM5-IT-MF_S5_L001_R1_001	19.731701923785653	69.77592688140341
HM5-IT-MF_S5_L001_R2_001	20.059703692783962	68.95039433920542
MRG1-IT-MF_S6_L001_R1_001	50.46892803926725	41.01440383323108
MRG1-IT-MF_S6_L001_R2_001	50.6851316212347	40.68133345020013
MRG2-IT-MF_S7_L001_R1_001	35.1432725390828	53.90981516121039
MRG2-IT-MF_S7_L001_R2_001	34.74592067435787	53.93393696315285
MRG3-IT-MF_S8_L001_R1_001	32.6942959782704	57.84631560501183
MRG3-IT-MF_S8_L001_R2_001	32.25444668360641	58.80487163760623
MRG4-IT-MF_S9_L001_R1_001	19.03291188109256	70.74882457567527
MRG4-IT-MF_S9_L001_R2_001	20.550967225998594	68.83919092200146
MRG5-IT-MF_S10_L001_R1_001	29.117945550015445	59.819970877641964
MRG5-IT-MF_S10_L001_R2_001	40.22415390724971	51.109738340025594
WML1-IT-MF_S11_L001_R1_001	25.6292203806016	64.29643271263897
WML1-IT-MF_S11_L001_R2_001	22.805402087170044	66.67007707523362
WML2-IT-MF_S12_L001_R1_001	16.74431257863774	73.526711327235
WML2-IT-MF_S12_L001_R2_001	15.037236032237223	74.06739891862482
WML3-IT-MF_S13_L001_R1_001	27.831152590965928	57.624464981039225
WML3-IT-MF_S13_L001_R2_001	27.18963816959974	62.794196886977566
WML4-IT-MF_S14_L001_R1_001	22.197272762241795	48.52098319036811
WML4-IT-MF_S14_L001_R2_001	19.75324075854906	69.91864445897605
WML5-IT-MF_S15_L001_R1_001	35.91310661987171	50.562749606680384
WML5-IT-MF_S15_L001_R2_001	22.528137480334017	69.5570615999032
XB-IT-MF_S16_L001_R1_001	26.722108042629067	63.083393447754894
XB-IT-MF_S16_L001_R2_001	22.056321541832833	65.30740019871787
