Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
HM1-IT-MF_S1_L001_R1_001	(1.0, 0.0)	(2.0, 0.178564965071245)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.030163000856629225)	(9.0, 0.0)	(12.0, 0.0)	(17.0, 0.0002413040068530338)	(22.0, 0.0)	(27.0, 0.002171736061677304)	(32.0, 0.0007239120205591014)	(37.0, 0.0)	(42.0, 0.0)	(47.0, 0.0004826080137060676)	(52.0, 0.0)	(57.0, 0.0)	(62.0, 0.0)	(67.0, 0.0012065200342651688)	(72.0, 0.002171736061677304)	(77.0, 0.0024130400685303376)	(82.0, 0.0024130400685303376)	(87.0, 0.0007239120205591014)	(92.0, 0.0014478240411182027)	(97.0, 0.0009652160274121352)	(102.0, 0.0004826080137060676)	(107.0, 0.0004826080137060676)	(112.0, 0.0002413040068530338)	(117.0, 0.0004826080137060676)	(122.0, 0.0016891280479712366)	(127.0, 0.0012065200342651688)	(132.0, 0.004102168116501574)	(137.0, 0.006756512191884946)	(142.0, 0.0024130400685303376)	(147.0, 0.004102168116501574)	(152.0, 0.0)	(157.0, 0.0004826080137060676)	(162.0, 0.0)	(167.0, 0.0002413040068530338)	(172.0, 0.0019304320548242705)	(177.0, 0.0007239120205591014)	(182.0, 0.0009652160274121352)	(187.0, 0.0)	(192.0, 0.0002413040068530338)	(197.0, 0.0)	(202.0, 0.0002413040068530338)	(207.0, 0.0016891280479712366)	(212.0, 0.0009652160274121352)	(217.0, 0.0019304320548242705)	(222.0, 0.0014478240411182027)	(227.0, 0.0016891280479712366)	(232.0, 0.0)	(237.0, 0.0002413040068530338)	(242.0, 0.0)	(247.0, 0.0)	(250.5, 0.0)
HM1-IT-MF_S1_L001_R2_001	(1.0, 0.0)	(2.0, 0.006032600171325845)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(12.0, 0.0)	(17.0, 0.0)	(22.0, 0.0007239120205591014)	(27.0, 0.0)	(32.0, 0.0)	(37.0, 0.0004826080137060676)	(42.0, 0.0002413040068530338)	(47.0, 0.0004826080137060676)	(52.0, 0.0002413040068530338)	(57.0, 0.0002413040068530338)	(62.0, 0.0004826080137060676)	(67.0, 0.0)	(72.0, 0.0004826080137060676)	(77.0, 0.0)	(82.0, 0.0)	(87.0, 0.0002413040068530338)	(92.0, 0.0019304320548242705)	(97.0, 0.0)	(102.0, 0.0002413040068530338)	(107.0, 0.0)	(112.0, 0.0)	(117.0, 0.0)	(122.0, 0.0)	(127.0, 0.0004826080137060676)	(132.0, 0.0002413040068530338)	(137.0, 0.0004826080137060676)	(142.0, 0.0016891280479712366)	(147.0, 0.0009652160274121352)	(152.0, 0.0002413040068530338)	(157.0, 0.0)	(162.0, 0.0002413040068530338)	(167.0, 0.0002413040068530338)	(172.0, 0.002171736061677304)	(177.0, 0.0016891280479712366)	(182.0, 0.0009652160274121352)	(187.0, 0.0026543440753833717)	(192.0, 0.002171736061677304)	(197.0, 0.0019304320548242705)	(202.0, 0.002171736061677304)	(207.0, 0.0024130400685303376)	(212.0, 0.0014478240411182027)	(217.0, 0.0016891280479712366)	(222.0, 0.0024130400685303376)	(227.0, 0.0014478240411182027)	(232.0, 0.0026543440753833717)	(237.0, 0.0019304320548242705)	(242.0, 0.0002413040068530338)	(247.0, 0.002171736061677304)	(250.5, 0.0006032600171325844)
HM2-IT-MF_S2_L001_R1_001	(1.0, 0.0020734269600796193)	(2.0, 0.14963231228574586)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0041468539201592386)	(9.0, 0.0)	(12.0, 0.0)	(17.0, 6.911423200265399e-05)	(22.0, 0.0)	(27.0, 0.0031101404401194296)	(32.0, 0.0009675992480371558)	(37.0, 0.0)	(42.0, 0.0)	(47.0, 0.00013822846400530798)	(52.0, 0.0)	(57.0, 0.0)	(62.0, 0.0)	(67.0, 0.00020734269600796197)	(72.0, 0.0014513988720557338)	(77.0, 0.0018660842640716576)	(82.0, 0.0009675992480371558)	(87.0, 0.00020734269600796197)	(92.0, 0.0009675992480371558)	(97.0, 0.00027645692801061595)	(102.0, 6.911423200265399e-05)	(107.0, 0.00034557116001326997)	(112.0, 0.0)	(117.0, 0.0)	(122.0, 0.0010367134800398096)	(127.0, 0.0011749419440451178)	(132.0, 0.004354196616167201)	(137.0, 0.007395222824283976)	(142.0, 0.0017969700320690037)	(147.0, 0.0034557116001326994)	(152.0, 6.911423200265399e-05)	(157.0, 0.00013822846400530798)	(162.0, 0.00013822846400530798)	(167.0, 0.0)	(172.0, 0.0006220280880238859)	(177.0, 0.00020734269600796197)	(182.0, 0.00034557116001326997)	(187.0, 6.911423200265399e-05)	(192.0, 0.0)	(197.0, 6.911423200265399e-05)	(202.0, 0.0)	(207.0, 0.0008293707840318479)	(212.0, 0.00013822846400530798)	(217.0, 0.00034557116001326997)	(222.0, 0.00020734269600796197)	(227.0, 0.00027645692801061595)	(232.0, 6.911423200265399e-05)	(237.0, 0.0)	(242.0, 0.0)	(247.0, 6.911423200265399e-05)	(250.5, 0.0)
HM2-IT-MF_S2_L001_R2_001	(1.0, 0.0)	(2.0, 0.013131704080504257)	(3.0, 0.00034557116001326997)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(12.0, 0.0)	(17.0, 0.0)	(22.0, 0.00020734269600796197)	(27.0, 0.0)	(32.0, 0.00013822846400530798)	(37.0, 0.00013822846400530798)	(42.0, 0.0)	(47.0, 0.0)	(52.0, 6.911423200265399e-05)	(57.0, 0.0)	(62.0, 0.0)	(67.0, 0.0)	(72.0, 0.0)	(77.0, 0.0)	(82.0, 0.0)	(87.0, 0.0)	(92.0, 0.0017278558000663497)	(97.0, 0.0)	(102.0, 6.911423200265399e-05)	(107.0, 0.0)	(112.0, 0.00013822846400530798)	(117.0, 6.911423200265399e-05)	(122.0, 6.911423200265399e-05)	(127.0, 6.911423200265399e-05)	(132.0, 0.0)	(137.0, 0.0)	(142.0, 0.0012440561760477717)	(147.0, 0.00027645692801061595)	(152.0, 6.911423200265399e-05)	(157.0, 0.00013822846400530798)	(162.0, 0.0)	(167.0, 0.0)	(172.0, 0.00041468539201592393)	(177.0, 0.00027645692801061595)	(182.0, 6.911423200265399e-05)	(187.0, 0.0016587415680636957)	(192.0, 0.0017969700320690037)	(197.0, 0.0007602565520291939)	(202.0, 0.0017278558000663497)	(207.0, 0.0005529138560212319)	(212.0, 0.0014513988720557338)	(217.0, 0.00027645692801061595)	(222.0, 0.0013822846400530799)	(227.0, 0.00034557116001326997)	(232.0, 0.0016587415680636957)	(237.0, 0.0005529138560212319)	(242.0, 0.0)	(247.0, 0.0016587415680636957)	(250.5, 0.0)
HM3-IT-MF_S3_L001_R1_001	(1.0, 0.0038064786266225115)	(2.0, 0.07612957253245023)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(12.0, 0.0)	(17.0, 0.0002537652417748341)	(22.0, 0.0)	(27.0, 0.003298948143072843)	(32.0, 0.0002537652417748341)	(37.0, 0.0)	(42.0, 0.0)	(47.0, 0.0)	(52.0, 0.0)	(57.0, 0.0)	(62.0, 0.0)	(67.0, 0.0010150609670993363)	(72.0, 0.0022838871759735067)	(77.0, 0.0038064786266225115)	(82.0, 0.0022838871759735067)	(87.0, 0.0005075304835496681)	(92.0, 0.0015225914506490047)	(97.0, 0.0007612957253245023)	(102.0, 0.0005075304835496681)	(107.0, 0.0010150609670993363)	(112.0, 0.0005075304835496681)	(117.0, 0.0)	(122.0, 0.002537652417748341)	(127.0, 0.0020301219341986726)	(132.0, 0.006344131044370852)	(137.0, 0.010404374912768199)	(142.0, 0.003298948143072843)	(147.0, 0.005836600560821185)	(152.0, 0.0)	(157.0, 0.0005075304835496681)	(162.0, 0.0)	(167.0, 0.0)	(172.0, 0.001776356692423839)	(177.0, 0.0005075304835496681)	(182.0, 0.0012688262088741706)	(187.0, 0.0)	(192.0, 0.0)	(197.0, 0.0)	(202.0, 0.0)	(207.0, 0.0015225914506490047)	(212.0, 0.0007612957253245023)	(217.0, 0.001776356692423839)	(222.0, 0.0012688262088741706)	(227.0, 0.0012688262088741706)	(232.0, 0.0)	(237.0, 0.0)	(242.0, 0.0)	(247.0, 0.0)	(250.5, 0.0)
HM3-IT-MF_S3_L001_R2_001	(1.0, 0.0)	(2.0, 0.016494740715364217)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(12.0, 0.0)	(17.0, 0.0)	(22.0, 0.0007612957253245023)	(27.0, 0.0)	(32.0, 0.0005075304835496681)	(37.0, 0.0005075304835496681)	(42.0, 0.0)	(47.0, 0.0)	(52.0, 0.0)	(57.0, 0.0)	(62.0, 0.0)	(67.0, 0.0)	(72.0, 0.0002537652417748341)	(77.0, 0.0)	(82.0, 0.0)	(87.0, 0.0)	(92.0, 0.002537652417748341)	(97.0, 0.0)	(102.0, 0.0002537652417748341)	(107.0, 0.0)	(112.0, 0.0002537652417748341)	(117.0, 0.0)	(122.0, 0.0)	(127.0, 0.0005075304835496681)	(132.0, 0.0)	(137.0, 0.0002537652417748341)	(142.0, 0.0027914176595231753)	(147.0, 0.0010150609670993363)	(152.0, 0.0002537652417748341)	(157.0, 0.0002537652417748341)	(162.0, 0.0)	(167.0, 0.0)	(172.0, 0.001776356692423839)	(177.0, 0.0012688262088741706)	(182.0, 0.0005075304835496681)	(187.0, 0.0030451829012980093)	(192.0, 0.0038064786266225115)	(197.0, 0.001776356692423839)	(202.0, 0.0030451829012980093)	(207.0, 0.0020301219341986726)	(212.0, 0.0030451829012980093)	(217.0, 0.0010150609670993363)	(222.0, 0.003298948143072843)	(227.0, 0.0012688262088741706)	(232.0, 0.00431400911017218)	(237.0, 0.0022838871759735067)	(242.0, 0.0)	(247.0, 0.0030451829012980093)	(250.5, 0.0)
HM4-IT-MF_S4_L001_R1_001	(1.0, 0.002977350482872115)	(2.0, 0.17214499155515137)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.01948811225152657)	(9.0, 0.0)	(12.0, 0.0)	(17.0, 0.0)	(22.0, 0.0)	(27.0, 0.003302152353730891)	(32.0, 0.0010285392577194577)	(37.0, 0.0)	(42.0, 0.0)	(47.0, 0.00021653458057251744)	(52.0, 5.413364514312936e-05)	(57.0, 0.0)	(62.0, 0.0)	(67.0, 0.0006496037417175523)	(72.0, 0.0020570785154389155)	(77.0, 0.0024901476765839506)	(82.0, 0.0020029448702957864)	(87.0, 0.00032480187085877615)	(92.0, 0.0012992074834351046)	(97.0, 0.0005413364514312936)	(102.0, 0.00021653458057251744)	(107.0, 0.0004872028062881642)	(112.0, 0.00021653458057251744)	(117.0, 0.00010826729028625872)	(122.0, 0.00167814299943701)	(127.0, 0.0015698757091507512)	(132.0, 0.004655493482309124)	(137.0, 0.00757871032003811)	(142.0, 0.002219479450868304)	(147.0, 0.004330691611450349)	(152.0, 5.413364514312936e-05)	(157.0, 0.00032480187085877615)	(162.0, 0.00010826729028625872)	(167.0, 5.413364514312936e-05)	(172.0, 0.0012992074834351046)	(177.0, 0.0004330691611450349)	(182.0, 0.0005413364514312936)	(187.0, 0.00010826729028625872)	(192.0, 0.00016240093542938807)	(197.0, 0.00016240093542938807)	(202.0, 0.00021653458057251744)	(207.0, 0.0012992074834351046)	(212.0, 0.0004872028062881642)	(217.0, 0.0010826729028625872)	(222.0, 0.0007037373868606816)	(227.0, 0.0008120046771469404)	(232.0, 0.00010826729028625872)	(237.0, 0.0)	(242.0, 0.0)	(247.0, 0.00010826729028625872)	(250.5, 0.0)
HM4-IT-MF_S4_L001_R2_001	(1.0, 0.0)	(2.0, 0.01515742064007622)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(12.0, 0.0)	(17.0, 0.0)	(22.0, 0.0005954700965744229)	(27.0, 0.0)	(32.0, 0.00016240093542938807)	(37.0, 0.0004872028062881642)	(42.0, 0.0)	(47.0, 0.00021653458057251744)	(52.0, 0.00010826729028625872)	(57.0, 5.413364514312936e-05)	(62.0, 0.00021653458057251744)	(67.0, 0.0)	(72.0, 5.413364514312936e-05)	(77.0, 0.0)	(82.0, 0.0)	(87.0, 0.00010826729028625872)	(92.0, 0.0020029448702957864)	(97.0, 0.0)	(102.0, 0.00010826729028625872)	(107.0, 0.0)	(112.0, 0.0)	(117.0, 5.413364514312936e-05)	(122.0, 5.413364514312936e-05)	(127.0, 0.0002706682257156468)	(132.0, 5.413364514312936e-05)	(137.0, 0.0002706682257156468)	(142.0, 0.0015698757091507512)	(147.0, 0.0005413364514312936)	(152.0, 0.0)	(157.0, 0.00016240093542938807)	(162.0, 0.00016240093542938807)	(167.0, 5.413364514312936e-05)	(172.0, 0.0014074747737213632)	(177.0, 0.0008661383222900698)	(182.0, 0.0003789355160019055)	(187.0, 0.002436014031440821)	(192.0, 0.0024901476765839506)	(197.0, 0.001515742064007622)	(202.0, 0.0023818803862976916)	(207.0, 0.0012992074834351046)	(212.0, 0.0020029448702957864)	(217.0, 0.000920271967433199)	(222.0, 0.0021653458057251745)	(227.0, 0.0011368065480057165)	(232.0, 0.0026525486120133387)	(237.0, 0.0014616084188644927)	(242.0, 0.00021653458057251744)	(247.0, 0.002111212160582045)	(250.5, 0.0002706682257156468)
HM5-IT-MF_S5_L001_R1_001	(1.0, 0.0073708262696248255)	(2.0, 0.1474165253924965)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.014741652539249651)	(9.0, 0.0)	(12.0, 0.0)	(17.0, 0.0)	(22.0, 0.0)	(27.0, 0.0022112478808874476)	(32.0, 0.0)	(37.0, 0.0)	(42.0, 0.0)	(47.0, 0.0)	(52.0, 0.0)	(57.0, 0.0)	(62.0, 0.0)	(67.0, 0.0)	(72.0, 0.0)	(77.0, 0.0)	(82.0, 0.0)	(87.0, 0.0)	(92.0, 0.0)	(97.0, 0.0)	(102.0, 0.0)	(107.0, 0.0)	(112.0, 0.0)	(117.0, 0.0)	(122.0, 0.0)	(127.0, 0.0)	(132.0, 0.001474165253924965)	(137.0, 0.001474165253924965)	(142.0, 0.0)	(147.0, 0.0007370826269624825)	(152.0, 0.0)	(157.0, 0.0)	(162.0, 0.0)	(167.0, 0.0)	(172.0, 0.0)	(177.0, 0.0)	(182.0, 0.0)	(187.0, 0.0)	(192.0, 0.0)	(197.0, 0.0)	(202.0, 0.0)	(207.0, 0.0)	(212.0, 0.0)	(217.0, 0.0)	(222.0, 0.0)	(227.0, 0.0)	(232.0, 0.0)	(237.0, 0.0)	(242.0, 0.0)	(247.0, 0.0)	(250.5, 0.0)
HM5-IT-MF_S5_L001_R2_001	(1.0, 0.0)	(2.0, 0.011056239404437238)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(12.0, 0.0)	(17.0, 0.0)	(22.0, 0.0)	(27.0, 0.0)	(32.0, 0.0)	(37.0, 0.0)	(42.0, 0.0)	(47.0, 0.0)	(52.0, 0.0)	(57.0, 0.0)	(62.0, 0.0)	(67.0, 0.0)	(72.0, 0.0)	(77.0, 0.0)	(82.0, 0.0)	(87.0, 0.0)	(92.0, 0.0)	(97.0, 0.0)	(102.0, 0.0)	(107.0, 0.0)	(112.0, 0.0)	(117.0, 0.0)	(122.0, 0.0)	(127.0, 0.0)	(132.0, 0.0)	(137.0, 0.0)	(142.0, 0.0)	(147.0, 0.0)	(152.0, 0.0)	(157.0, 0.0)	(162.0, 0.0)	(167.0, 0.0)	(172.0, 0.0)	(177.0, 0.0)	(182.0, 0.0)	(187.0, 0.0)	(192.0, 0.0)	(197.0, 0.0)	(202.0, 0.0)	(207.0, 0.0)	(212.0, 0.0)	(217.0, 0.0)	(222.0, 0.0)	(227.0, 0.0)	(232.0, 0.0)	(237.0, 0.0)	(242.0, 0.0)	(247.0, 0.0)	(250.5, 0.0)
