Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
HM1-IT-MF_S1_L001_R1_001	(1.0, 34.91716033444735)	(2.0, 35.21941773343146)	(3.0, 36.368603935668354)	(4.0, 35.931312814449285)	(5.0, 36.1240423247228)	(6.0, 35.85189966579395)	(7.0, 36.787362909161104)	(8.0, 36.695462278151126)	(9.0, 36.55476997695547)	(12.0, 36.4120386569019)	(17.0, 36.442594983289695)	(22.0, 34.973046342434515)	(27.0, 36.486961137989695)	(32.0, 36.353380065875996)	(37.0, 36.06375975773078)	(42.0, 36.3532570008325)	(47.0, 36.04180109310715)	(52.0, 36.225293485998336)	(57.0, 36.27700976074707)	(62.0, 36.00721257676484)	(67.0, 35.83979826985027)	(72.0, 35.98017928887709)	(77.0, 35.295515365032635)	(82.0, 35.50661776238794)	(87.0, 35.74035688862614)	(92.0, 35.49025735072331)	(97.0, 34.953495891799285)	(102.0, 35.335822786337374)	(107.0, 35.18479543452819)	(112.0, 34.702238094663564)	(117.0, 35.45290349046246)	(122.0, 34.74554733781355)	(127.0, 35.046033565387354)	(132.0, 34.848613105220615)	(137.0, 33.538180326484316)	(142.0, 34.79496881145711)	(147.0, 34.044675023828766)	(152.0, 34.06200306456089)	(157.0, 33.63179180290289)	(162.0, 33.69048176344968)	(167.0, 33.475376132620674)	(172.0, 33.66961379293703)	(177.0, 33.82864037257339)	(182.0, 32.89602210344703)	(187.0, 33.0688874678764)	(192.0, 33.52882014405849)	(197.0, 30.9690069133598)	(202.0, 31.538718434419604)	(207.0, 31.741428278416567)	(212.0, 31.797871698659556)	(217.0, 29.347863856279332)	(222.0, 32.08311716516053)	(227.0, 30.478756801756692)	(232.0, 29.54628814111458)	(237.0, 27.747649095713236)	(242.0, 29.369957651146798)	(247.0, 25.964294246105958)	(250.5, 25.889036352448635)
HM1-IT-MF_S1_L001_R2_001	(1.0, 35.88215918825332)	(2.0, 36.5057008071619)	(3.0, 34.77377749357528)	(4.0, 36.52180784961934)	(5.0, 35.816379715985185)	(6.0, 36.00256988767298)	(7.0, 36.12153276305153)	(8.0, 36.068687185550715)	(9.0, 36.07614347936247)	(12.0, 36.154605890230805)	(17.0, 36.3261054739814)	(22.0, 36.11071510442431)	(27.0, 36.11878189737341)	(32.0, 36.24792780184115)	(37.0, 36.092556977908615)	(42.0, 36.099663380910435)	(47.0, 36.281218102626596)	(52.0, 35.916166161939124)	(57.0, 36.253890423850486)	(62.0, 35.90619789341602)	(67.0, 35.809468769228914)	(72.0, 35.65712389754232)	(77.0, 35.68895189604624)	(82.0, 35.9463557062365)	(87.0, 35.74868187686256)	(92.0, 35.76394435529602)	(97.0, 35.69181376156751)	(102.0, 36.00415042891787)	(107.0, 35.19298046644065)	(112.0, 35.34935028896155)	(117.0, 34.78011896287538)	(122.0, 34.14097703992375)	(127.0, 34.91313538361304)	(132.0, 35.09277415151478)	(137.0, 34.62227718591267)	(142.0, 34.10479833017627)	(147.0, 33.613578176465616)	(152.0, 34.0519189701145)	(157.0, 33.455866703666615)	(162.0, 34.04732936790415)	(167.0, 33.90749852201296)	(172.0, 33.35470965095375)	(177.0, 33.2311089125635)	(182.0, 33.108248977474275)	(187.0, 33.0990528817731)	(192.0, 31.92540327932145)	(197.0, 33.18549521614806)	(202.0, 32.940463062389156)	(207.0, 32.32625025638551)	(212.0, 31.64513591448186)	(217.0, 31.262000651520815)	(222.0, 32.379399876934954)	(227.0, 31.75840884137881)	(232.0, 30.10096159646731)	(237.0, 28.749193441357097)	(242.0, 28.405405209753507)	(247.0, 29.265890472111288)	(250.5, 28.95827250461494)
HM2-IT-MF_S2_L001_R1_001	(1.0, 36.19718981532677)	(2.0, 30.688899563198053)	(3.0, 32.57261832356519)	(4.0, 35.91396660400309)	(5.0, 35.936484020789564)	(6.0, 34.4634662169634)	(7.0, 35.92265426296583)	(8.0, 35.880377087249805)	(9.0, 33.89104141324782)	(12.0, 35.57914961848944)	(17.0, 35.90080103394891)	(22.0, 35.90310461130156)	(27.0, 35.960459056728965)	(32.0, 35.35951564746212)	(37.0, 35.080569224814774)	(42.0, 35.73069501271702)	(47.0, 35.269799845184124)	(52.0, 35.39044703085259)	(57.0, 35.60501078182019)	(62.0, 35.59439621806923)	(67.0, 35.26825514209886)	(72.0, 35.330135878580116)	(77.0, 34.43604238084706)	(82.0, 34.64430360499834)	(87.0, 35.30028129492425)	(92.0, 34.95318063695676)	(97.0, 34.957703472299016)	(102.0, 34.2761908382174)	(107.0, 34.45517596483468)	(112.0, 34.914967378082494)	(117.0, 34.60178314718567)	(122.0, 33.81871820745327)	(127.0, 33.99410110029857)	(132.0, 33.59997442773416)	(137.0, 33.591791302665044)	(142.0, 33.81434673227911)	(147.0, 32.7211309852925)	(152.0, 32.69450334512883)	(157.0, 33.283006192635185)	(162.0, 32.088839433816204)	(167.0, 32.09292823178149)	(172.0, 32.6822922426186)	(177.0, 31.93228118434148)	(182.0, 30.697909294481917)	(187.0, 31.83833144421099)	(192.0, 30.440547937631315)	(197.0, 31.39530921707398)	(202.0, 30.049881123520958)	(207.0, 29.789324615724873)	(212.0, 28.873370286409376)	(217.0, 28.843152853035498)	(222.0, 29.271706706845073)	(227.0, 27.85659764458697)	(232.0, 28.2769289782152)	(237.0, 27.481505031516086)	(242.0, 26.709230896826273)	(247.0, 26.112414989494635)	(250.5, 22.431614923144974)
HM2-IT-MF_S2_L001_R2_001	(1.0, 36.48021950680084)	(2.0, 36.7498548601128)	(3.0, 36.13624834125843)	(4.0, 36.78877308415349)	(5.0, 36.438467599248035)	(6.0, 36.556086199270155)	(7.0, 36.65036492314498)	(8.0, 36.61419744553798)	(9.0, 36.61168859891629)	(12.0, 36.44542325555678)	(17.0, 36.55782511334735)	(22.0, 36.44449919827491)	(27.0, 36.55250746433706)	(32.0, 36.65657552803274)	(37.0, 36.475105053632646)	(42.0, 36.4914616277784)	(47.0, 36.59837305097866)	(52.0, 36.52361978878691)	(57.0, 36.52292519075528)	(62.0, 36.467553632644034)	(67.0, 36.38877170186885)	(72.0, 36.23930388145527)	(77.0, 36.42039422757934)	(82.0, 36.23202200597147)	(87.0, 36.142390523056505)	(92.0, 36.268983606104165)	(97.0, 36.06794620148181)	(102.0, 36.08400904014154)	(107.0, 35.94316045560102)	(112.0, 35.20420076302112)	(117.0, 35.449822376423754)	(122.0, 35.446795173062036)	(127.0, 34.91064566515537)	(132.0, 35.30922398540307)	(137.0, 35.351488720557334)	(142.0, 34.67844603560765)	(147.0, 34.50151360168086)	(152.0, 34.80446547052969)	(157.0, 33.78621447528475)	(162.0, 34.486611190976454)	(167.0, 34.20054738471746)	(172.0, 34.54785745880791)	(177.0, 33.674321298241736)	(182.0, 33.061770844852376)	(187.0, 33.66566681411037)	(192.0, 33.120463341811345)	(197.0, 33.63734034612408)	(202.0, 32.68853464005308)	(207.0, 31.767241236315385)	(212.0, 32.58150572265841)	(217.0, 30.792716742231562)	(222.0, 30.90180941059383)	(227.0, 30.590652300121643)	(232.0, 30.5707342696008)	(237.0, 29.97835756939069)	(242.0, 29.835788731615615)	(247.0, 28.97857044122526)	(250.5, 25.510059576467988)
HM3-IT-MF_S3_L001_R1_001	(1.0, 36.531054521462195)	(2.0, 24.207059749026175)	(3.0, 22.435651478816947)	(4.0, 35.87792623044422)	(5.0, 35.97390024488346)	(6.0, 30.70575920216208)	(7.0, 33.1601512440841)	(8.0, 34.47285346326114)	(9.0, 29.537728547320874)	(12.0, 34.106010429751436)	(17.0, 34.808988364863666)	(22.0, 34.89659066397676)	(27.0, 34.901927347011274)	(32.0, 33.80432162206743)	(37.0, 33.16062832273864)	(42.0, 34.179460241330744)	(47.0, 33.306989963584684)	(52.0, 33.70058492888229)	(57.0, 34.06389047492165)	(62.0, 33.87436336644969)	(67.0, 33.5526600941469)	(72.0, 33.36103942243031)	(77.0, 32.79546267747706)	(82.0, 32.10701787776128)	(87.0, 33.306391077614094)	(92.0, 33.3644119624935)	(97.0, 33.30770304391407)	(102.0, 32.97979521144989)	(107.0, 32.788836867014325)	(112.0, 33.104967454607745)	(117.0, 32.895941024957814)	(122.0, 31.746496136424195)	(127.0, 32.00728560009136)	(132.0, 31.581987743138818)	(137.0, 31.793790364533766)	(142.0, 31.68621420324058)	(147.0, 30.6959816273965)	(152.0, 30.954327331785368)	(157.0, 30.985398347988273)	(162.0, 29.959841650489132)	(167.0, 30.22649816654613)	(172.0, 30.369461890804814)	(177.0, 29.897075355588544)	(182.0, 28.839688883813587)	(187.0, 29.83881593138188)	(192.0, 29.16586603732886)	(197.0, 28.832195196223978)	(202.0, 28.026064227982694)	(207.0, 27.767639856368874)	(212.0, 27.432915889510618)	(217.0, 27.22402649309124)	(222.0, 27.465834316673646)	(227.0, 26.69487521094236)	(232.0, 26.949531168715815)	(237.0, 26.473767018131525)	(242.0, 25.678015048278837)	(247.0, 24.629989976272952)	(250.5, 22.717191326304036)
HM3-IT-MF_S3_L001_R2_001	(1.0, 36.51294837146156)	(2.0, 36.73183358075445)	(3.0, 36.180744293454126)	(4.0, 36.75486277644551)	(5.0, 36.61950439648282)	(6.0, 36.64647964168348)	(7.0, 36.76838846383211)	(8.0, 36.754837399921335)	(9.0, 36.74440764848439)	(12.0, 36.56025021252839)	(17.0, 36.58394173550049)	(22.0, 36.44315024171139)	(27.0, 36.613449557814064)	(32.0, 36.679809168538185)	(37.0, 36.54652151294837)	(42.0, 36.56102165886339)	(47.0, 36.49803205055004)	(52.0, 36.560910002157)	(57.0, 36.506193140725514)	(62.0, 36.46134774719906)	(67.0, 36.40488498090417)	(72.0, 36.213396267113296)	(77.0, 36.33408955375383)	(82.0, 36.36980447388122)	(87.0, 36.16339182622156)	(92.0, 36.338225927194756)	(97.0, 36.09637750117367)	(102.0, 36.165835585499856)	(107.0, 35.96111047669801)	(112.0, 35.51861241165797)	(117.0, 35.81553043279662)	(122.0, 35.558745384644666)	(127.0, 34.70114067476178)	(132.0, 35.31011635136336)	(137.0, 35.41926331950312)	(142.0, 34.97905167929149)	(147.0, 34.70950985243552)	(152.0, 34.855934934592014)	(157.0, 34.17780822960679)	(162.0, 34.684057198685494)	(167.0, 34.48300914823697)	(172.0, 34.6636823874234)	(177.0, 34.0060193115349)	(182.0, 33.59474452184285)	(187.0, 33.62970322154975)	(192.0, 33.14889168030655)	(197.0, 33.48288734092092)	(202.0, 32.87026505779503)	(207.0, 32.357953637090326)	(212.0, 32.6881326684684)	(217.0, 31.029665156763475)	(222.0, 31.397129915115528)	(227.0, 31.579384111758213)	(232.0, 30.989405301155898)	(237.0, 29.700704198545928)	(242.0, 29.612447185109055)	(247.0, 29.34609518734219)	(250.5, 26.10071942446043)
HM4-IT-MF_S4_L001_R1_001	(1.0, 34.747328504612184)	(2.0, 35.714136460092675)	(3.0, 36.24485189034689)	(4.0, 36.06042397470876)	(5.0, 35.96640465982417)	(6.0, 35.86625200294487)	(7.0, 36.78276168204062)	(8.0, 36.65569919016067)	(9.0, 36.20324477068988)	(12.0, 36.360980468580834)	(17.0, 36.40183296522455)	(22.0, 35.711340998657484)	(27.0, 36.401094040968346)	(32.0, 36.165915833008526)	(37.0, 36.00821748733273)	(42.0, 36.24997726386904)	(47.0, 35.905306179896925)	(52.0, 35.969120544801015)	(57.0, 36.18039171105626)	(62.0, 35.96201333853016)	(67.0, 35.76005045255728)	(72.0, 35.921116452297426)	(77.0, 35.573679139058505)	(82.0, 35.454324736910486)	(87.0, 35.925906197219696)	(92.0, 35.85517950716729)	(97.0, 35.60704820059764)	(102.0, 35.672895283876834)	(107.0, 35.65396204148803)	(112.0, 35.36660603698411)	(117.0, 35.75014616084189)	(122.0, 35.38056331471136)	(127.0, 35.167495452773814)	(132.0, 35.03159131263263)	(137.0, 34.59788012645619)	(142.0, 34.98164815296003)	(147.0, 34.780828028236115)	(152.0, 34.31943776796154)	(157.0, 34.49304274392621)	(162.0, 34.382262569832406)	(167.0, 34.34667565285176)	(172.0, 34.283374474903646)	(177.0, 33.88355528127842)	(182.0, 33.226031787276426)	(187.0, 33.368367545797064)	(192.0, 33.07498971460742)	(197.0, 31.921692975618207)	(202.0, 31.592710363345027)	(207.0, 31.60839071499719)	(212.0, 31.875052509635793)	(217.0, 30.117576111905073)	(222.0, 31.859393811441684)	(227.0, 30.645428413667663)	(232.0, 30.249294097267335)	(237.0, 28.16096098046858)	(242.0, 29.14266813910182)	(247.0, 26.96324217227491)	(250.5, 26.57825559741891)
HM4-IT-MF_S4_L001_R2_001	(1.0, 35.97863345026201)	(2.0, 36.570379152050585)	(3.0, 35.27389459096618)	(4.0, 36.60389870512321)	(5.0, 35.793951106491704)	(6.0, 36.123852366722964)	(7.0, 36.157734615218054)	(8.0, 36.09136135290806)	(9.0, 36.1116127495561)	(12.0, 36.157158633233735)	(17.0, 36.34473604434628)	(22.0, 36.15850060629683)	(27.0, 36.121259365120615)	(32.0, 36.33391418734571)	(37.0, 36.06474113290892)	(42.0, 35.98942661643065)	(47.0, 36.27097245680135)	(52.0, 36.131975661513145)	(57.0, 35.96234301242909)	(62.0, 36.02130483738252)	(67.0, 35.91096098046857)	(72.0, 35.6465749642718)	(77.0, 35.80607379498505)	(82.0, 35.98762504872028)	(87.0, 35.68060608029102)	(92.0, 35.801428586895334)	(97.0, 35.7115347971071)	(102.0, 35.93826382573297)	(107.0, 35.64497314971201)	(112.0, 35.32545039192759)	(117.0, 34.84432625265255)	(122.0, 34.8023640162834)	(127.0, 34.76634565415097)	(132.0, 34.851659196223636)	(137.0, 34.67735968559179)	(142.0, 34.43750433069162)	(147.0, 34.08245312026331)	(152.0, 34.08737928197133)	(157.0, 33.51860735784504)	(162.0, 34.18860865705254)	(167.0, 33.967606968082805)	(172.0, 33.62881100861808)	(177.0, 33.37143800614958)	(182.0, 32.9646945779741)	(187.0, 33.0791428478628)	(192.0, 32.447687410679485)	(197.0, 33.1490158503313)	(202.0, 32.82500324801871)	(207.0, 32.24729873110736)	(212.0, 31.95638181542592)	(217.0, 30.816936793555932)	(222.0, 31.729513663332035)	(227.0, 31.120459811181842)	(232.0, 30.169327335325455)	(237.0, 29.542181477631978)	(242.0, 28.565984582737862)	(247.0, 29.097862262353296)	(250.5, 26.147470876098915)
HM5-IT-MF_S5_L001_R1_001	(1.0, 34.653571165327634)	(2.0, 35.775189798776445)	(3.0, 36.13827670081816)	(4.0, 35.75948993882214)	(5.0, 35.87757057566153)	(6.0, 35.923269698533204)	(7.0, 36.79052111741726)	(8.0, 36.7210142256947)	(9.0, 36.529741283997936)	(12.0, 36.34426181174909)	(17.0, 36.42929166359549)	(22.0, 34.99964620033906)	(27.0, 36.48431488169824)	(32.0, 36.30656740620624)	(37.0, 36.185774305299624)	(42.0, 36.32873885162527)	(47.0, 36.14779980835852)	(52.0, 36.175278248691676)	(57.0, 36.36712611483747)	(62.0, 36.04962040244711)	(67.0, 35.752266529077914)	(72.0, 35.95461045183165)	(77.0, 35.46097147490234)	(82.0, 35.67353136286577)	(87.0, 36.00019164148301)	(92.0, 35.64000884499152)	(97.0, 35.76836441365077)	(102.0, 35.69843001400458)	(107.0, 35.64043635291516)	(112.0, 35.403891796270365)	(117.0, 35.79040318419694)	(122.0, 35.41428466131053)	(127.0, 35.353416377975975)	(132.0, 34.956010908822876)	(137.0, 34.22321810274932)	(142.0, 35.219282081521335)	(147.0, 34.656512125009215)	(152.0, 34.43630869020417)	(157.0, 34.637414314144614)	(162.0, 33.83632343185671)	(167.0, 34.27157072307806)	(172.0, 34.65336478219208)	(177.0, 34.08426328591435)	(182.0, 32.97694405542862)	(187.0, 33.65492739736125)	(192.0, 32.97619223114911)	(197.0, 30.999778875211916)	(202.0, 31.021552296012384)	(207.0, 32.223277069359476)	(212.0, 31.84596447261738)	(217.0, 29.98577430529962)	(222.0, 32.519702218618704)	(227.0, 30.741283997936172)	(232.0, 31.14118080636839)	(237.0, 28.98800029483305)	(242.0, 30.19199528267119)	(247.0, 27.389577651654754)	(250.5, 26.798887005233286)
HM5-IT-MF_S5_L001_R2_001	(1.0, 35.889732439006416)	(2.0, 36.50449620402447)	(3.0, 35.066263728163925)	(4.0, 36.5520011793322)	(5.0, 35.76450210068548)	(6.0, 36.12692562836294)	(7.0, 36.08107908896587)	(8.0, 36.05181690867546)	(9.0, 36.051522075624675)	(12.0, 36.14662047615538)	(17.0, 36.37552885678484)	(22.0, 36.027139382324755)	(27.0, 36.12971180069286)	(32.0, 36.265777253630134)	(37.0, 36.0906316798113)	(42.0, 36.04810201223557)	(47.0, 36.16472322547357)	(52.0, 36.04496204024472)	(57.0, 36.181720350851336)	(62.0, 35.95149996314587)	(67.0, 35.68862681506597)	(72.0, 35.55201592098474)	(77.0, 35.64712906316798)	(82.0, 35.85746296159799)	(87.0, 35.88306921205867)	(92.0, 35.81972433109752)	(97.0, 35.69574703324243)	(102.0, 35.90167317756321)	(107.0, 35.57782855458096)	(112.0, 35.14025208225842)	(117.0, 34.271054765239185)	(122.0, 34.05864229380113)	(127.0, 34.57719466352179)	(132.0, 34.82466278469816)	(137.0, 34.37004496204024)	(142.0, 33.92114690056756)	(147.0, 33.62159652097)	(152.0, 33.73920542492814)	(157.0, 33.329195842853984)	(162.0, 34.1292400678116)	(167.0, 33.560212279796566)	(172.0, 33.260470258716005)	(177.0, 33.10908822879045)	(182.0, 32.93333824721751)	(187.0, 32.723770914719545)	(192.0, 31.712596742094785)	(197.0, 33.23135549495099)	(202.0, 32.7724331097516)	(207.0, 32.30565342374881)	(212.0, 31.566197390727503)	(217.0, 30.829778138129285)	(222.0, 31.816997125377753)	(227.0, 31.255974054691528)	(232.0, 29.640908085796422)	(237.0, 28.622820078130758)	(242.0, 28.511284735018798)	(247.0, 29.03922753740694)	(250.5, 26.775521485958578)
