Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
HM1-IT-MF_S1_L001_R1_001	(21.0, 4.0)	(22.0, 6.0)	(23.0, 25.0)	(24.0, 68.0)	(25.0, 192.0)	(26.0, 429.0)	(27.0, 743.0)	(28.0, 1190.0)	(29.0, 1903.0)	(30.0, 2431.0)	(31.0, 3720.0)	(32.0, 6231.0)	(33.0, 13276.0)	(34.0, 28508.0)	(35.0, 23186.0)	(36.0, 971.0)										
HM1-IT-MF_S1_L001_R2_001	(13.0, 6.0)	(14.0, 21.0)	(15.0, 17.0)	(16.0, 9.0)	(17.0, 16.0)	(18.0, 20.0)	(19.0, 19.0)	(20.0, 30.0)	(21.0, 48.0)	(22.0, 78.0)	(23.0, 122.0)	(24.0, 175.0)	(25.0, 289.0)	(26.0, 453.0)	(27.0, 683.0)	(28.0, 970.0)	(29.0, 1404.0)	(30.0, 2003.0)	(31.0, 3110.0)	(32.0, 5427.0)	(33.0, 10611.0)	(34.0, 21977.0)	(35.0, 30082.0)	(36.0, 5304.0)	(37.0, 9.0)	
HM2-IT-MF_S2_L001_R1_001	(20.0, 1.0)	(21.0, 5.0)	(22.0, 32.0)	(23.0, 125.0)	(24.0, 304.0)	(25.0, 703.0)	(26.0, 1504.0)	(27.0, 2803.0)	(28.0, 4935.0)	(29.0, 8129.0)	(30.0, 13196.0)	(31.0, 25694.0)	(32.0, 62756.0)	(33.0, 109601.0)	(34.0, 54743.0)	(35.0, 4812.0)	(36.0, 33.0)									
HM2-IT-MF_S2_L001_R2_001	(13.0, 1.0)	(14.0, 10.0)	(15.0, 10.0)	(16.0, 17.0)	(17.0, 40.0)	(18.0, 62.0)	(19.0, 78.0)	(20.0, 105.0)	(21.0, 194.0)	(22.0, 291.0)	(23.0, 370.0)	(24.0, 334.0)	(25.0, 390.0)	(26.0, 419.0)	(27.0, 568.0)	(28.0, 924.0)	(29.0, 1607.0)	(30.0, 2903.0)	(31.0, 5712.0)	(32.0, 12468.0)	(33.0, 34934.0)	(34.0, 104075.0)	(35.0, 114199.0)	(36.0, 9652.0)	(37.0, 13.0)	
HM3-IT-MF_S3_L001_R1_001	(21.0, 8.0)	(22.0, 28.0)	(23.0, 84.0)	(24.0, 197.0)	(25.0, 507.0)	(26.0, 1077.0)	(27.0, 2377.0)	(28.0, 4869.0)	(29.0, 9162.0)	(30.0, 14904.0)	(31.0, 20022.0)	(32.0, 16828.0)	(33.0, 6949.0)	(34.0, 1509.0)	(35.0, 288.0)	(36.0, 4.0)										
HM3-IT-MF_S3_L001_R2_001	(13.0, 3.0)	(14.0, 9.0)	(15.0, 8.0)	(16.0, 15.0)	(17.0, 18.0)	(18.0, 21.0)	(19.0, 19.0)	(20.0, 31.0)	(21.0, 55.0)	(22.0, 93.0)	(23.0, 111.0)	(24.0, 78.0)	(25.0, 71.0)	(26.0, 80.0)	(27.0, 85.0)	(28.0, 135.0)	(29.0, 187.0)	(30.0, 420.0)	(31.0, 905.0)	(32.0, 2603.0)	(33.0, 9414.0)	(34.0, 28878.0)	(35.0, 31697.0)	(36.0, 3864.0)	(37.0, 13.0)	
HM4-IT-MF_S4_L001_R1_001	(19.0, 1.0)	(20.0, 0.0)	(21.0, 5.0)	(22.0, 31.0)	(23.0, 102.0)	(24.0, 255.0)	(25.0, 622.0)	(26.0, 1379.0)	(27.0, 2621.0)	(28.0, 4321.0)	(29.0, 6410.0)	(30.0, 9024.0)	(31.0, 12793.0)	(32.0, 19828.0)	(33.0, 45921.0)	(34.0, 138411.0)	(35.0, 122557.0)	(36.0, 5175.0)								
HM4-IT-MF_S4_L001_R2_001	(13.0, 10.0)	(14.0, 42.0)	(15.0, 59.0)	(16.0, 65.0)	(17.0, 57.0)	(18.0, 87.0)	(19.0, 87.0)	(20.0, 138.0)	(21.0, 255.0)	(22.0, 415.0)	(23.0, 629.0)	(24.0, 860.0)	(25.0, 1290.0)	(26.0, 1837.0)	(27.0, 2883.0)	(28.0, 4229.0)	(29.0, 5962.0)	(30.0, 8246.0)	(31.0, 12960.0)	(32.0, 22251.0)	(33.0, 46859.0)	(34.0, 104416.0)	(35.0, 135082.0)	(36.0, 20688.0)	(37.0, 49.0)	
HM5-IT-MF_S5_L001_R1_001	(21.0, 1.0)	(22.0, 1.0)	(23.0, 8.0)	(24.0, 29.0)	(25.0, 51.0)	(26.0, 101.0)	(27.0, 194.0)	(28.0, 304.0)	(29.0, 456.0)	(30.0, 660.0)	(31.0, 935.0)	(32.0, 1432.0)	(33.0, 3123.0)	(34.0, 9062.0)	(35.0, 10141.0)	(36.0, 636.0)										
HM5-IT-MF_S5_L001_R2_001	(13.0, 2.0)	(14.0, 6.0)	(15.0, 3.0)	(16.0, 2.0)	(17.0, 4.0)	(18.0, 9.0)	(19.0, 5.0)	(20.0, 10.0)	(21.0, 19.0)	(22.0, 24.0)	(23.0, 52.0)	(24.0, 81.0)	(25.0, 108.0)	(26.0, 154.0)	(27.0, 250.0)	(28.0, 331.0)	(29.0, 482.0)	(30.0, 677.0)	(31.0, 1079.0)	(32.0, 2036.0)	(33.0, 3914.0)	(34.0, 7471.0)	(35.0, 8918.0)	(36.0, 1496.0)	(37.0, 1.0)	
