Sample	Unique Reads	Duplicate Reads
HM1-IT-MF_S1_L001_R1_001	2366	80517
HM1-IT-MF_S1_L001_R2_001	3203	79680
HM2-IT-MF_S2_L001_R1_001	6567	282809
HM2-IT-MF_S2_L001_R2_001	3798	285578
HM3-IT-MF_S3_L001_R1_001	6140	72673
HM3-IT-MF_S3_L001_R2_001	1940	76873
HM4-IT-MF_S4_L001_R1_001	7539	361917
HM4-IT-MF_S4_L001_R2_001	10180	359276
HM5-IT-MF_S5_L001_R1_001	1147	25987
HM5-IT-MF_S5_L001_R2_001	1440	25694
MRG1-IT-MF_S6_L001_R1_001	1064	33163
MRG1-IT-MF_S6_L001_R2_001	1450	32777
MRG2-IT-MF_S7_L001_R1_001	7907	448112
MRG2-IT-MF_S7_L001_R2_001	12455	443564
MRG3-IT-MF_S8_L001_R1_001	1489	55576
MRG3-IT-MF_S8_L001_R2_001	1626	55439
MRG4-IT-MF_S9_L001_R1_001	2068	70459
MRG4-IT-MF_S9_L001_R2_001	2656	69871
MRG5-IT-MF_S10_L001_R1_001	1037	21626
MRG5-IT-MF_S10_L001_R2_001	753	21910
WML1-IT-MF_S11_L001_R1_001	1251	28071
WML1-IT-MF_S11_L001_R2_001	1441	27881
WML2-IT-MF_S12_L001_R1_001	1234	28173
WML2-IT-MF_S12_L001_R2_001	1517	27890
WML3-IT-MF_S13_L001_R1_001	4226	94135
WML3-IT-MF_S13_L001_R2_001	2694	95667
WML4-IT-MF_S14_L001_R1_001	19087	188889
WML4-IT-MF_S14_L001_R2_001	5425	202551
WML5-IT-MF_S15_L001_R1_001	1131	15395
WML5-IT-MF_S15_L001_R2_001	633	15893
XB-IT-MF_S16_L001_R1_001	2276	71195
XB-IT-MF_S16_L001_R2_001	3536	69935
