Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
HM1-IT-MF_S1_L001_R1_001	(1.0, 1.6094977257097354)	(2.0, 0.7432163411073441)	(3.0, 0.6298034578864182)	(4.0, 0.4970862541172496)	(5.0, 0.42831461216413497)	(6.0, 0.34023864966277767)	(7.0, 0.3547168900739597)	(8.0, 0.3764342506907327)	(9.0, 0.2606083274012765)	('>10', 4.146809357769386)	('>50', 1.093107151044243)	('>100', 4.969656021138231)	('>500', 0.0)	('>1k', 30.92552151828481)	('>5k', 28.79601365780679)	('>10k+', 24.828975785142912)
HM1-IT-MF_S1_L001_R2_001	(1.0, 2.5867789534645222)	(2.0, 0.8566292243282699)	(3.0, 0.6659990589143733)	(4.0, 0.4633036931578249)	(5.0, 0.5127710145626968)	(6.0, 0.3764342506907327)	(7.0, 0.33782560959424734)	(8.0, 0.2799126479495192)	(9.0, 0.22803228647611692)	('>10', 3.6099079425213856)	('>50', 0.8361183837457622)	('>100', 2.871517681551102)	('>500', 2.762930878467237)	('>1k', 38.42283701120857)	('>5k', 20.26471049551778)	('>10k+', 24.92429086784986)
HM2-IT-MF_S2_L001_R1_001	(1.0, 1.5775323454605774)	(2.0, 0.4672122083379409)	(3.0, 0.277839212650669)	(4.0, 0.24189981200928895)	(5.0, 0.17624129160676766)	(6.0, 0.1368461793652549)	(7.0, 0.10401691916399425)	(8.0, 0.13546389472520182)	(9.0, 0.11196505584429946)	('>10', 3.1937686608426405)	('>50', 1.8605551255114452)	('>100', 4.390481587968594)	('>500', 2.126644918721663)	('>1k', 2.7517831471856686)	('>5k', 4.548407608094659)	('>10k+', 77.89934203251133)
HM2-IT-MF_S2_L001_R2_001	(1.0, 0.9057420103947805)	(2.0, 0.2391352427291828)	(3.0, 0.168984297246489)	(4.0, 0.1423753179254672)	(5.0, 0.10885491540418002)	(6.0, 0.12233219064469755)	(7.0, 0.07740793984297246)	(8.0, 0.09399535552360942)	(9.0, 0.09330421320358288)	('>10', 1.8425854251907552)	('>50', 1.2537321685281433)	('>100', 2.662625787902245)	('>500', 2.231352980205684)	('>1k', 1.8028447417892293)	('>5k', 4.429531129050094)	('>10k+', 83.8251962844189)
HM3-IT-MF_S3_L001_R1_001	(1.0, 5.586641797672972)	(2.0, 1.540355017573243)	(3.0, 0.8412317764835751)	(4.0, 0.8425006026924493)	(5.0, 0.8247370357682108)	(6.0, 0.6394884092725819)	(7.0, 0.4884980904165556)	(8.0, 0.3857231674977478)	(9.0, 0.4796163069544364)	('>10', 8.039282859426745)	('>50', 3.562863994518671)	('>100', 7.475924022686613)	('>500', 3.1466889980079427)	('>1k', 19.649042670625406)	('>5k', 15.846370522629517)	('>10k+', 30.651034727773336)
HM3-IT-MF_S3_L001_R2_001	(1.0, 1.465494271249667)	(2.0, 0.5303693553094032)	(3.0, 0.5367134863537741)	(4.0, 0.47200334970119145)	(5.0, 0.29183002804105923)	(6.0, 0.34258307639602603)	(7.0, 0.24868993693933744)	(8.0, 0.21316280309086064)	(9.0, 0.19413040995774808)	('>10', 3.57174577798079)	('>50', 1.569538020377349)	('>100', 3.213936787078274)	('>500', 2.2953066118533743)	('>1k', 18.60479870072196)	('>5k', 40.23321025719107)	('>10k+', 26.21648712775811)
HM4-IT-MF_S4_L001_R1_001	(1.0, 1.292170109566498)	(2.0, 0.4357758434021914)	(3.0, 0.313433805378719)	(4.0, 0.25767615088129575)	(5.0, 0.2043545104153133)	(6.0, 0.18838508509809018)	(7.0, 0.18378372526092415)	(8.0, 0.1688969728465636)	(9.0, 0.1510328699493309)	('>10', 3.6689077995755923)	('>50', 2.025951669481616)	('>100', 3.311896409856654)	('>500', 1.2967714694036636)	('>1k', 6.134695335845135)	('>5k', 6.845199428348707)	('>10k+', 73.5210688146897)
HM4-IT-MF_S4_L001_R2_001	(1.0, 2.0343423844788013)	(2.0, 0.37352215148759255)	(3.0, 0.2833896323242822)	(4.0, 0.2436014031440821)	(5.0, 0.21653458057251745)	(6.0, 0.23223333766402496)	(7.0, 0.19704646832099088)	(8.0, 0.19271577670954051)	(9.0, 0.19731713654670652)	('>10', 3.711132042787233)	('>50', 1.4367069420986531)	('>100', 2.6847581308735005)	('>500', 0.9289333506560998)	('>1k', 4.911545623836126)	('>5k', 4.985167381230783)	('>10k+', 77.37105365726906)
HM5-IT-MF_S5_L001_R1_001	(1.0, 2.358664406279944)	(2.0, 1.3341195548020932)	(3.0, 1.0392865040171002)	(4.0, 0.8107908896587307)	(5.0, 0.7002284956143584)	(6.0, 0.464362054986364)	(7.0, 0.30957470332424264)	(8.0, 0.47173288125598883)	(9.0, 0.43119333677305227)	('>10', 3.4974570649369796)	('>50', 1.3783445124198423)	('>100', 5.284882435320999)	('>500', 0.0)	('>1k', 62.187661236824646)	('>5k', 19.731701923785653)	('>10k+', 0.0)
HM5-IT-MF_S5_L001_R2_001	(1.0, 3.537996609419916)	(2.0, 1.429940296307216)	(3.0, 0.928724109972728)	(4.0, 0.6486327117269846)	(5.0, 0.7555096926365445)	(6.0, 0.33168718213311715)	(7.0, 0.5159578388737377)	(8.0, 0.3243163558634923)	(9.0, 0.09950615463993513)	('>10', 3.3389843001400457)	('>50', 0.0)	('>100', 4.212427213090588)	('>500', 0.0)	('>1k', 63.816613842411726)	('>5k', 20.059703692783962)	('>10k+', 0.0)
MRG1-IT-MF_S6_L001_R1_001	(1.0, 1.8640254769626319)	(2.0, 0.8589709878166361)	(3.0, 0.5083705846261724)	(4.0, 0.35060040319046365)	(5.0, 0.4966839045198236)	(6.0, 0.3155403628714173)	(7.0, 0.4090338037222076)	(8.0, 0.2103602419142782)	(9.0, 0.2629503023928477)	('>10', 4.490606830864522)	('>50', 1.7997487363777136)	('>100', 4.958074035118474)	('>500', 5.94267683407836)	('>1k', 27.06342945627721)	('>5k', 0.0)	('>10k+', 50.46892803926725)
MRG1-IT-MF_S6_L001_R2_001	(1.0, 3.0560668478102087)	(2.0, 0.8239109474975896)	(3.0, 0.5697256551845035)	(4.0, 0.4090338037222076)	(5.0, 0.3359920530575277)	(6.0, 0.4382505039880796)	(7.0, 0.38858211353609723)	(8.0, 0.16361352148888303)	(9.0, 0.236655272153563)	('>10', 3.321938820229643)	('>50', 1.9166155374412013)	('>100', 4.528588541210156)	('>500', 6.0011102346101035)	('>1k', 27.124784526835537)	('>5k', 0.0)	('>10k+', 50.6851316212347)
MRG2-IT-MF_S7_L001_R1_001	(1.0, 1.108725732919023)	(2.0, 0.43901679535282523)	(3.0, 0.2920930926123692)	(4.0, 0.20437744918523132)	(5.0, 0.1787206234827935)	(6.0, 0.13552066909492808)	(7.0, 0.13354706711781744)	(8.0, 0.15437953243176272)	(9.0, 0.10065370083264076)	('>10', 2.0194334008012826)	('>50', 1.4863415778728517)	('>100', 5.114918457344979)	('>500', 2.4277497209546093)	('>1k', 9.757926753051956)	('>5k', 4.616912891787404)	('>10k+', 71.82968253515753)
MRG2-IT-MF_S7_L001_R2_001	(1.0, 2.1288586659766366)	(2.0, 0.42498229240448315)	(3.0, 0.2618311956300066)	(4.0, 0.2017459798824172)	(5.0, 0.15569526708316977)	(6.0, 0.15262521956321995)	(7.0, 0.09977654439836936)	(8.0, 0.09824152063839446)	(9.0, 0.10460090478686196)	('>10', 2.3863040794352868)	('>50', 1.4459923818963683)	('>100', 3.859488310794068)	('>500', 2.5180968336845617)	('>1k', 6.271449215931792)	('>5k', 3.2500838780840273)	('>10k+', 76.64022770981033)
MRG3-IT-MF_S8_L001_R1_001	(1.0, 1.5438535003942873)	(2.0, 0.599316568825024)	(3.0, 0.4941733111364234)	(4.0, 0.48365898536756335)	(5.0, 0.21904845351791818)	(6.0, 0.2733724699903619)	(7.0, 0.31893454832208884)	(8.0, 0.30842022255322876)	(9.0, 0.22080084114606152)	('>10', 4.712170332077456)	('>50', 1.7085779374397616)	('>100', 1.6665206343643213)	('>500', 1.5561202137912906)	('>1k', 13.770261981950407)	('>5k', 16.81065451677911)	('>10k+', 55.3141154823447)
MRG3-IT-MF_S8_L001_R2_001	(1.0, 1.8820643126259529)	(2.0, 0.5116971874178569)	(3.0, 0.46788749671427315)	(4.0, 0.40655392972925614)	(5.0, 0.32419171120651885)	(6.0, 0.3049154472969421)	(7.0, 0.31893454832208884)	(8.0, 0.23832471742749498)	(9.0, 0.14194339787961097)	('>10', 4.253044773503899)	('>50', 1.811968807500219)	('>100', 1.9854551826864104)	('>500', 0.0)	('>1k', 7.3880662402523445)	('>5k', 16.239376150004382)	('>10k+', 63.72557609743276)
MRG4-IT-MF_S9_L001_R1_001	(1.0, 1.614571125236119)	(2.0, 0.7252471493374881)	(3.0, 0.6452769313497042)	(4.0, 0.4081238711100693)	(5.0, 0.42053304286679444)	(6.0, 0.43018462089980286)	(7.0, 0.37641154328732745)	(8.0, 0.3309112468460022)	(9.0, 0.22336509162105148)	('>10', 4.570711597060405)	('>50', 0.9885973499524315)	('>100', 4.072965929929544)	('>500', 1.1705985357177326)	('>1k', 18.357301418781972)	('>5k', 12.243716133302081)	('>10k+', 53.42148441270148)
MRG4-IT-MF_S9_L001_R2_001	(1.0, 2.4583948046934245)	(2.0, 0.7114591807189047)	(3.0, 0.6494133219352793)	(4.0, 0.5349731824010369)	(5.0, 0.37916913701104416)	(6.0, 0.3474568091883023)	(7.0, 0.30885049705626866)	(8.0, 0.3309112468460022)	(9.0, 0.35986598094502736)	('>10', 3.7062059646752243)	('>50', 1.2891750658375503)	('>100', 3.0140499400223364)	('>500', 1.5745860162422272)	('>1k', 16.728942324927267)	('>5k', 0.0)	('>10k+', 67.6065465275001)
MRG5-IT-MF_S10_L001_R1_001	(1.0, 2.6386621365220844)	(2.0, 1.3325685037285442)	(3.0, 1.0060450955301594)	(4.0, 0.8471958699201341)	(5.0, 0.9045580902793098)	(6.0, 0.4765476768300755)	(7.0, 0.4941975907867449)	(8.0, 0.42359793496006704)	(9.0, 0.5162599832325817)	('>10', 3.9447557693156248)	('>50', 1.1693067996293518)	('>100', 4.8096015531924285)	('>500', 3.176984512200503)	('>1k', 26.210122225654146)	('>5k', 52.049596258218244)	('>10k+', 0.0)
MRG5-IT-MF_S10_L001_R2_001	(1.0, 1.8797158363852977)	(2.0, 0.917795525746812)	(3.0, 0.6221594669725985)	(4.0, 0.6530468163967701)	(5.0, 0.9045580902793098)	(6.0, 0.39712306402506287)	(7.0, 0.30887349424171556)	(8.0, 0.3882981070467281)	(9.0, 0.277986144817544)	('>10', 3.5255703128447253)	('>50', 0.2647487093500419)	('>100', 2.5812999161629087)	('>500', 0.0)	('>1k', 47.054670608480784)	('>5k', 40.22415390724971)	('>10k+', 0.0)
WML1-IT-MF_S11_L001_R1_001	(1.0, 2.503239888138599)	(2.0, 1.1458972784939636)	(3.0, 1.0640474728872518)	(4.0, 0.8048564217993316)	(5.0, 0.7161857990587273)	(6.0, 0.511561285041948)	(7.0, 0.42971147943523635)	(8.0, 0.3273992224268467)	(9.0, 0.24554941682013504)	('>10', 3.4069981583793743)	('>50', 1.5551463065275222)	('>100', 8.87729349976127)	('>500', 7.63590478139281)	('>1k', 45.146988609235386)	('>5k', 25.6292203806016)	('>10k+', 0.0)
WML1-IT-MF_S11_L001_R2_001	(1.0, 3.1682695586931313)	(2.0, 1.3164177068412795)	(3.0, 0.9003478616738286)	(4.0, 0.7912147875315462)	(5.0, 0.6138735420503376)	(6.0, 0.5934110906486597)	(7.0, 0.42971147943523635)	(8.0, 0.3001159538912762)	(9.0, 0.3069367710251688)	('>10', 2.905668099038265)	('>50', 0.798035604665439)	('>100', 4.5460746197394455)	('>500', 13.406316076665984)	('>1k', 47.11820476093036)	('>5k', 22.805402087170044)	('>10k+', 0.0)
WML2-IT-MF_S12_L001_R1_001	(1.0, 2.414391131363281)	(2.0, 1.3126126432482061)	(3.0, 1.009963614105485)	(4.0, 0.8977454347604312)	(5.0, 0.59509640561771)	(6.0, 0.4896793280511443)	(7.0, 0.4522732682694597)	(8.0, 0.27204407113952456)	(9.0, 0.24483966402557214)	('>10', 3.006086986091747)	('>50', 0.948753698099092)	('>100', 4.716564083381508)	('>500', 13.007107151358522)	('>1k', 70.63284252048831)	('>5k', 0.0)	('>10k+', 0.0)
