Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
HM1-IT-MF_S1_L001_R1_001	HM1-IT-MF_S1_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	82883.0	20.8 Mbp	0.0	251.0	47.0	2.8546264010713895	251.0	251.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
HM1-IT-MF_S1_L001_R2_001	HM1-IT-MF_S1_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	82883.0	20.8 Mbp	0.0	251.0	47.0	3.864483669751336	251.0	251.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
HM2-IT-MF_S2_L001_R1_001	HM2-IT-MF_S2_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	289376.0	72.6 Mbp	0.0	251.0	48.0	2.2693658078071435	251.0	251.0	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	pass
HM2-IT-MF_S2_L001_R2_001	HM2-IT-MF_S2_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	289376.0	72.6 Mbp	0.0	251.0	48.0	1.3124792657303992	251.0	251.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
HM3-IT-MF_S3_L001_R1_001	HM3-IT-MF_S3_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	78813.0	19.7 Mbp	0.0	251.0	49.0	7.790592922487407	251.0	251.0	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
HM3-IT-MF_S3_L001_R2_001	HM3-IT-MF_S3_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	78813.0	19.7 Mbp	0.0	251.0	48.0	2.4615228452158906	251.0	251.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
HM4-IT-MF_S4_L001_R1_001	HM4-IT-MF_S4_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	369456.0	92.7 Mbp	0.0	251.0	48.0	2.0402970854445455	251.0	251.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
HM4-IT-MF_S4_L001_R2_001	HM4-IT-MF_S4_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	369456.0	92.7 Mbp	0.0	251.0	47.0	2.755402537785284	251.0	251.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
HM5-IT-MF_S5_L001_R1_001	HM5-IT-MF_S5_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27134.0	6.8 Mbp	0.0	251.0	48.0	4.227168865629837	251.0	251.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
HM5-IT-MF_S5_L001_R2_001	HM5-IT-MF_S5_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27134.0	6.8 Mbp	0.0	251.0	47.0	5.3069949141298745	251.0	251.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
MRG1-IT-MF_S6_L001_R1_001	MRG1-IT-MF_S6_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34227.0	8.5 Mbp	0.0	251.0	48.0	3.108656908288778	251.0	251.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
MRG1-IT-MF_S6_L001_R2_001	MRG1-IT-MF_S6_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34227.0	8.5 Mbp	0.0	251.0	47.0	4.236421538551436	251.0	251.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
