Sample	FastQC_mqc_generalstats_fastqc_percent_duplicates	FastQC_mqc_generalstats_fastqc_percent_gc	FastQC_mqc_generalstats_fastqc_avg_sequence_length	FastQC_mqc_generalstats_fastqc_median_sequence_length	FastQC_mqc_generalstats_fastqc_percent_fails	FastQC_mqc_generalstats_fastqc_total_sequences
HM1-IT-MF_S1_L001_R1_001	97.14537359892861	47.0	251.0	251.0	45.45454545454545	0.082883
HM1-IT-MF_S1_L001_R2_001	96.13551633024866	47.0	251.0	251.0	45.45454545454545	0.082883
HM2-IT-MF_S2_L001_R1_001	97.73063419219285	48.0	251.0	251.0	45.45454545454545	0.28937599999999997
HM2-IT-MF_S2_L001_R2_001	98.6875207342696	48.0	251.0	251.0	36.36363636363637	0.28937599999999997
HM3-IT-MF_S3_L001_R1_001	92.2094070775126	49.0	251.0	251.0	45.45454545454545	0.078813
HM3-IT-MF_S3_L001_R2_001	97.5384771547841	48.0	251.0	251.0	45.45454545454545	0.078813
HM4-IT-MF_S4_L001_R1_001	97.95970291455545	48.0	251.0	251.0	45.45454545454545	0.369456
HM4-IT-MF_S4_L001_R2_001	97.24459746221471	47.0	251.0	251.0	45.45454545454545	0.369456
HM5-IT-MF_S5_L001_R1_001	95.77283113437016	48.0	251.0	251.0	45.45454545454545	0.027134
HM5-IT-MF_S5_L001_R2_001	94.69300508587013	47.0	251.0	251.0	45.45454545454545	0.027134
MRG1-IT-MF_S6_L001_R1_001	96.89134309171122	48.0	251.0	251.0	45.45454545454545	0.034227
MRG1-IT-MF_S6_L001_R2_001	95.76357846144856	47.0	251.0	251.0	45.45454545454545	0.034227
MRG2-IT-MF_S7_L001_R1_001	98.26608101855405	50.0	251.0	251.0	45.45454545454545	0.45601899999999995
MRG2-IT-MF_S7_L001_R2_001	97.2687541527875	50.0	251.0	251.0	36.36363636363637	0.45601899999999995
MRG3-IT-MF_S8_L001_R1_001	97.39069482169455	49.0	251.0	251.0	45.45454545454545	0.057065
MRG3-IT-MF_S8_L001_R2_001	97.15061771663892	48.0	251.0	251.0	45.45454545454545	0.057065
MRG4-IT-MF_S9_L001_R1_001	97.14864808967695	50.0	251.0	251.0	54.54545454545454	0.072527
MRG4-IT-MF_S9_L001_R2_001	96.33791553490424	49.0	251.0	251.0	45.45454545454545	0.072527
MRG5-IT-MF_S10_L001_R1_001	95.42425980673345	46.0	251.0	251.0	54.54545454545454	0.022663
MRG5-IT-MF_S10_L001_R2_001	96.67740369765697	46.0	251.0	251.0	45.45454545454545	0.022663
WML1-IT-MF_S11_L001_R1_001	95.73357888275015	49.0	251.0	251.0	45.45454545454545	0.029321999999999997
WML1-IT-MF_S11_L001_R2_001	95.08560125503035	48.0	251.0	251.0	45.45454545454545	0.029321999999999997
WML2-IT-MF_S12_L001_R1_001	95.80372020267284	48.0	251.0	251.0	45.45454545454545	0.029407
WML2-IT-MF_S12_L001_R2_001	94.84136430101677	48.0	251.0	251.0	45.45454545454545	0.029407
WML3-IT-MF_S13_L001_R1_001	95.7035817041307	46.0	251.0	251.0	54.54545454545454	0.09836099999999999
WML3-IT-MF_S13_L001_R2_001	97.26110958611645	46.0	251.0	251.0	45.45454545454545	0.09836099999999999
WML4-IT-MF_S14_L001_R1_001	90.82297957456629	49.0	251.0	251.0	54.54545454545454	0.207976
WML4-IT-MF_S14_L001_R2_001	97.39152594530138	47.0	251.0	251.0	45.45454545454545	0.207976
WML5-IT-MF_S15_L001_R1_001	93.16228972528137	48.0	251.0	251.0	45.45454545454545	0.016526
WML5-IT-MF_S15_L001_R2_001	96.16967203194966	46.0	251.0	251.0	45.45454545454545	0.016526
XB-IT-MF_S16_L001_R1_001	96.90217909106994	50.0	251.0	251.0	45.45454545454545	0.073471
XB-IT-MF_S16_L001_R2_001	95.18721672496632	47.0	251.0	251.0	45.45454545454545	0.073471
