sample	cutadapt_total_processed	cutadapt_reverse_complemented	cutadapt_passing_filters	cutadapt_passing_filters_percent	DADA2_input	filtered	denoisedF	denoisedR	merged	nonchim
HM1_IT_MF	82,883	NA	81,828	98.7%	81828	76336	76274	76190	75695	73998
HM2_IT_MF	289,376	NA	286,640	99.1%	286640	269545	269431	269027	265742	255792
HM3_IT_MF	78,813	NA	77,844	98.8%	77844	64043	63937	63995	62698	61694
HM4_IT_MF	369,456	NA	364,392	98.6%	364392	343036	342425	342797	339604	333086
HM5_IT_MF	27,134	NA	26,723	98.5%	26723	25118	25085	25078	24921	24603
MRG1_IT_MF	34,227	NA	33,745	98.6%	33745	31275	31215	31206	30894	30826
MRG2_IT_MF	456,019	NA	450,237	98.7%	450237	425525	423698	424356	411133	382807
MRG3_IT_MF	57,065	NA	56,530	99.1%	56530	53144	53087	53128	51093	48449
MRG4_IT_MF	72,527	NA	71,706	98.9%	71706	67743	67350	67633	65929	64055
MRG5_IT_MF	22,663	NA	22,405	98.9%	22405	21064	21039	20989	20837	20410
WML1_IT_MF	29,322	NA	29,025	99.0%	29025	26679	26637	26582	26339	26039
WML2_IT_MF	29,407	NA	28,981	98.6%	28981	26848	26813	26812	26043	25735
WML3_IT_MF	98,361	NA	97,390	99.0%	97390	89070	88568	88885	87278	84750
WML4_IT_MF	207,976	NA	203,632	97.9%	203632	139354	139066	138700	129745	120190
WML5_IT_MF	16,526	NA	16,368	99.0%	16368	13110	13006	13086	12793	12371
XB_IT_MF	73,471	NA	72,406	98.6%	72406	66706	66629	66563	60475	59303
