ASV_ID	arc_eval	bac_eval	euk_eval	mito_eval	eval_method
0000ea1f8c54111bb9144238798c1c44	2.2e-26	4.4e-51	NA	NA	barrnap:0.9
0011a50042a2cb1ca930692cd2ce3f32	2.3e-31	4e-52	NA	NA	barrnap:0.9
002106801a7d04effc7c2ff136e57aaf	1e-27	1.3e-52	NA	NA	barrnap:0.9
0025a33a990804ee72e8bbc9cb96d327	6.2e-19	1.3e-45	NA	NA	barrnap:0.9
002c373d94bb682edf3445d0c3f9be0c	7.3e-32	5.6e-52	NA	NA	barrnap:0.9
0042ee9259595fe27a7407290b4afb52	7.7e-24	8.2e-49	NA	NA	barrnap:0.9
0046bccc2fa0805e9c5ed7b98f8f0b3a	1.2e-34	2.2e-54	NA	NA	barrnap:0.9
004941f640fe7b752a5a578e15265575	2e-32	5.3e-58	NA	NA	barrnap:0.9
004f9c56199a8b3762df13b9bb98c72d	2.4e-35	2.3e-61	NA	NA	barrnap:0.9
0050c0196a9d9f610f3f0574812acf7c	8.4e-33	1.1e-58	NA	NA	barrnap:0.9
005dc7dcf8eda84a8cc2c3d4e928e338	1.4e-33	4.8e-52	NA	NA	barrnap:0.9
005f43fe36905ae77fcabd1f5a0c45c6	3.7e-30	3e-46	NA	NA	barrnap:0.9
0061f21b0d20d626501c263acec3b560	2.4e-31	2.3e-50	NA	NA	barrnap:0.9
00742f192fbd1560216db8242721c98c	1.1e-34	1.1e-51	NA	NA	barrnap:0.9
007c8de09984b9a87cc633c7f07eb44e	4.9e-33	1e-49	NA	NA	barrnap:0.9
0081d904e6e9b799d94a88a80ad21d1b	4.4e-34	4.8e-54	NA	NA	barrnap:0.9
008b39b3f0ce720567111bfcfc6a105f	7e-34	4.4e-56	NA	NA	barrnap:0.9
00982fcc7d1173086f3490046abf88c7	1.7e-33	1.3e-51	NA	NA	barrnap:0.9
00bab283bf1ed0d808677237d8abb214	3.8e-33	5.1e-53	NA	NA	barrnap:0.9
00be27d9375bd3fc58633024d9d007f3	5.8e-30	6.5e-48	NA	NA	barrnap:0.9
